版本组,关系类型,主版本,替代版本,处理决定,是否保留差异
EX-01,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md,content/articles/munger/芒格：2003_年的金融大丑闻.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-02,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-six.md,content/talks/芒格：财务总监联合会演讲_1998.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-03,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md,content/talks/芒格：慈善圆桌会议讲话_2000.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-04,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-four.md,content/talks/芒格：关于实践思维的现实思考_1996.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-05,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-five.md,content/talks/芒格：哈佛法学院演讲_1998.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-06,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,content/talks/芒格：哈佛中学演讲_1986.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-07,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,content/talks/芒格：论学院派经济学_2003.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-08,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md,content/talks/芒格：南加大法学院演讲_2007.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-09,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,content/talks/芒格：南加大商学院演讲_1994.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
EX-10,精确重复,poor-charlies-almanack/poor-charlies-almanack-talk-three.md,content/talks/芒格：斯坦福法学院演讲_1996.md,保留《穷查理宝典》编排版为主版本；替代版本不进入主书。,否；正文哈希完全相同。
SV-01,同题异版,content/munger-archive/mental-models/circle-of-competence.md,content/models/circle-of-competence.md,档案短文作芒格证据锚点；模型长文作编辑扩展素材。,是；身份与用途不同。
SV-02,同题异版,content/munger-archive/mental-models/inversion.md,content/models/inversion.md,档案短文作原始思想入口；模型稿仅作机制扩展。,是；模型稿不得冒充原话。
SV-03,同题异版,content/munger-archive/mental-models/margin-of-safety.md,content/models/margin-of-safety.md,档案版作为芒格使用证据；长稿归入编辑扩展。,是；需保留格雷厄姆思想源流。
SV-04,同题异版,content/munger-archive/mental-models/opportunity-cost.md,content/models/opportunity-cost.md,档案版作证据锚点，模型版作案例与解释素材。,是；二者篇幅与身份不同。
SV-05,同题异版,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,content/models/psychology-of-human-misjudgment.md,原始演讲为主；模型稿只用于图表与编者解释。,是；不得用扩展稿替代原始体系。
SV-06,同题异版,content/munger-archive/mental-models/two-track-analysis.md,content/models/two-track-analysis.md,档案版作芒格证据，模型版作编辑扩展。,是；身份不同。
SV-07,同题异版,poor-charlies-almanack/poor-charlies-almanack-chapter-one.md,content/poor-charlies-almanack/01-portrait.md,完整章节为主，短版作索引或导读备选。,否；短版信息密度较低。
NV-01,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,content/munger-archive/recordings/harvard-1986-misery.md,宝典版主用，档案转录版保留作译文校对。,是；比较语气与段落差异。
NV-02,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,content/munger-archive/recordings/usc-1994-worldly-wisdom.md,宝典版主用，录音档案版用于补场合信息。,是；保留现场语境。
NV-03,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,content/munger-archive/recordings/psychology-of-human-misjudgment-1995.md,宝典修订版主用，1995 录音版用于思想演变。,是；这是重要演变差异。
NV-04,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-three.md,content/munger-archive/recordings/stanford-1996-worldly-wisdom.md,宝典版主用，档案版补现场信息。,是；核对标题与场合。
NV-05,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-five.md,content/munger-archive/recordings/harvard-law-1998-multidisciplinary.md,宝典版主用，档案版作校对。,是；比较翻译差异。
NV-06,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,content/munger-archive/recordings/ucsb-2003-academic-economics.md,宝典版主用，档案版补录音语境。,是；案例段落可能不同。
NV-07,语义近似/翻译异版,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md,content/munger-archive/recordings/usc-law-2007.md,宝典版主用，档案版作翻译校对。,是；保持现场表达差异。
NV-08,汇编与原件重合,content/partnership/partnership_1956-有限合伙协议.md,content/articles/buffett/巴菲特合伙契约_1956.md,原始协议文件为主，专题汇编不单独收入。,否；汇编仅作查找入口。
NV-09,汇编与原件重合,content/partnership,content/articles/buffett/巴菲特合伙公司时代.md,逐年合伙人信为主，汇编稿只作编辑参考。,是；若汇编含独立背景，只转入编者导读。
NV-10,汇编与原件重合,content/letters,content/articles/buffett/巴菲特估值逻辑.md,以可定位的信件和讲话为主，汇编稿拆为观点线索。,是；不把汇编概括当原话。
NV-11,精选与逐年原件重合,content/qa,content/qa/历年股东问答精选_2025.md,逐年会议记录为证据源，精选稿仅作检索入口。,否；避免精选内容重复计入。
