workKey,year,title,chinesePath,chineseCompleteness,chineseSha256,chineseBytes,chineseHanChars,englishPath,englishCompleteness,englishSourceSupport,englishSha256,englishBytes,englishWords,englishVisibleChars,sourceUrl,status,boundaryReviewRequired,boundaryNote,packet,fidelityPass
munger-poor-charlie-talk-one,1986,芒格：哈佛中学演讲 1986,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,unknown,0fffe56f1bc536202dcc3b59c15dd572cf4a626b752972d60101897c36f43e47,12837,3910,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-one.md,unknown,local-original-language-text-with-url,1206e7347d9f9a3b8562ad7f35e49253cbf705984027662084c0a4f5ddf0f025,13793,2309,11417,https://www.stripe.press/poor-charlies-almanack/talk-one,full-pair-candidate-needs-paragraph-collation,true,开头含第三人称编者导语，文末另有《穷查理宝典》来源尾注；需与演讲正文隔离。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-one_中英校勘包.md,true
munger-poor-charlie-talk-two,1994,芒格：南加大商学院演讲 1994,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,unknown,3f9a215c41e5a6aee90f95c3f17c4616d458e12045c07e7d253096e58ff17538,73366,21949,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-two.md,unknown,local-original-language-text-with-url,d49d391c154dea89313c74fc873d1f21984e7f9eae7a2f53d0d86d216f0b3bb2,27685,4644,22551,https://www.stripe.press/poor-charlies-almanack/talk-two,full-pair-candidate-needs-paragraph-collation,false,,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-two_中英校勘包.md,true
munger-poor-charlie-talk-four,1996,芒格：关于实践思维的现实思考 1996,poor-charlies-almanack/poor-charlies-almanack-talk-four.md,unknown,40c3afd2294532b836aee4c8184e19909816d940a6cdbe8639373f9f9b0497c8,24113,7203,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-four.md,unknown,local-original-language-text-with-url,a1712c4d7693bd84015c1e72f4bb230d4e37d37758c237c3021b3ba45de6fe53,7531,1179,6282,https://www.stripe.press/poor-charlies-almanack/talk-four,full-pair-candidate-needs-paragraph-collation,true,文末夹有‘巴菲特午餐时光：吃汉堡，喝可乐，看电视’图片说明，不属于演讲正文。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-four_中英校勘包.md,true
munger-poor-charlie-talk-three,1996,芒格：斯坦福法学院演讲 1996,poor-charlies-almanack/poor-charlies-almanack-talk-three.md,unknown,c532cd572964277a6a9a76bff6e80224e228355b62d718007a577fa1bf2b7536,83118,24903,content/source-documents/poor-charlies-almanack-stripe/rendered/talk-three.source.txt,official-rendered-full-page,official-web-rendered-original-local,e82dde34cd04f77233dc2716b6b998423f857b44f79fe55888872ffff3dc8a33,93760,16678,75606,https://www.stripe.press/poor-charlies-almanack/talk-three,chinese-missing-official-revisited-appendix,true,中文覆盖 1996 年演讲与问答，但缺 Stripe Press 书页另附的 2006 年 ‘Talk Three — Revisited’；文末还夹有‘孙涤教授在《上海证券报》第一次将巴菲特思想引入中国’说明，不属于本次演讲。不得自行翻译补齐。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-three_中英校勘包.md,true
munger-poor-charlie-talk-five,1998,芒格：哈佛法学院演讲 1998,poor-charlies-almanack/poor-charlies-almanack-talk-five.md,unknown,9c70a0159b276ddf48cfd3b74641a48b0bd34751555deca65bf57314388d05c6,21231,6393,content/source-documents/poor-charlies-almanack-stripe/rendered/talk-five.source.txt,official-rendered-full-page,official-web-rendered-original-local,55b8908f07a7e1b6d545f85844191f3f0a2e0099051fc0c0f8a6dfa15a91668e,26554,4171,22148,https://www.stripe.press/poor-charlies-almanack/talk-five,full-pair-candidate-needs-paragraph-collation,false,,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-five_中英校勘包.md,true
munger-poor-charlie-talk-six,1998,芒格：财务总监联合会演讲 1998,poor-charlies-almanack/poor-charlies-almanack-talk-six.md,unknown,2cae3161da61c43e02b5668720d76250c3a27122a433c4b2ceea6eda01fe0e21,19992,6069,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-six.md,unknown,local-original-language-text-with-url,7417f98bf1aeb3858dc9d65ae18af33364d73f59be7b48af3b6d6ef44952821f,8468,1286,7080,https://www.stripe.press/poor-charlies-almanack/talk-six,full-pair-candidate-needs-paragraph-collation,true,开头含多段第三人称编者导语，正文中另有未标明身份的传记性括注；需逐项隔离。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-six_中英校勘包.md,true
munger-poor-charlie-talk-seven,2000,芒格：慈善圆桌会议讲话 2000,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md,selection-or-excerpt,b72f5a87ab7254847f8651b53cd90691ed2ed975c39fdd6756bac4519d9736c8,18768,5683,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-seven.md,unknown,local-original-language-text-with-url,9971179e3b182439595486a6f7331d136b16d86b169e9bdee4d394be08a49bb1,6825,1011,5693,https://www.stripe.press/poor-charlies-almanack/talk-seven,chinese-selection-not-full-document,true,开头含两段第三人称编者导语，文末附‘塞缪尔·约翰逊名言’列表；中文本身又是节选，均需核对边界。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-seven_中英校勘包.md,true
munger-poor-charlie-talk-eight,2003,芒格：2003 年的金融大丑闻,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md,unknown,faa3a2a67d49d76937797b16d4c22af9f6cd263467741c5c430e8679e75881b5,27111,8128,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-eight.md,unknown,local-original-language-text-with-url,e15a6f34d749f89f4ece2368931d93479a9af86c925d508e06f2ed1483e69e5e,6605,998,5490,https://www.stripe.press/poor-charlies-almanack/talk-eight,full-pair-candidate-needs-paragraph-collation,true,开头首段为第三人称作品介绍，不是芒格虚构文章正文。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-eight_中英校勘包.md,true
munger-poor-charlie-talk-nine,2003,芒格：论学院派经济学 2003,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,unknown,f8597fe7029b26f39bae9d8f4dae8c0b9eca55c83a89b39e1f3ce983f3f7e729,84635,25351,content/source-documents/poor-charlies-almanack-stripe/rendered/talk-nine.source.txt,official-rendered-full-page,official-web-rendered-original-local,23d8ea1f326bc8416ec706d836455f13df40acdb63e62ce52feacbcd59160b10,72993,12757,59189,https://www.stripe.press/poor-charlies-almanack/talk-nine,full-pair-candidate-needs-paragraph-collation,true,开头含第三人称现场叙述；中文含‘重读第九讲’，但在官方 Revisited 结尾的拉比引语之后又接入第三人称编者评论，需按英文底本切开正文与附加材料。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-nine_中英校勘包.md,true
munger-poor-charlie-talk-eleven,2005,第十一讲：人类误判心理学,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,selection-or-excerpt,04b41906bf392f2f031a8ac477175e5ce1cc18e2e89cc844796e45c16b318b71,26255,7816,content/source-documents/poor-charlies-almanack-stripe/rendered/talk-eleven.source.txt,official-rendered-full-page,official-web-rendered-original-local,7769244776770383cd0542e084fa075561346c5a2032596e01ed42e504875224,163140,26223,135321,https://www.stripe.press/poor-charlies-almanack/talk-eleven,chinese-selection-not-full-document,true,官方英文全文底本现已保存；中文文件仍明确只是二十五种心理倾向的框架摘录，并含编者说明，不是完整演讲正文。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-eleven_中英校勘包.md,true
munger-poor-charlie-talk-ten,2007,芒格：南加大法学院演讲 2007,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md,unknown,3d9884512f65e2f5015d48978d1c06f89449846c21307fc25382c4f73cbfbb14,37274,11168,poor-charlies-almanack/_english-source/poor-charlies-almanack-talk-ten.md,unknown,local-original-language-text-with-url,d1529508484267cbebe77f4d565f14f4995e38599d1fc08e367d12059840301f,29901,5251,24559,https://www.stripe.press/poor-charlies-almanack/talk-ten,full-pair-candidate-needs-paragraph-collation,true,开头含第三人称典礼介绍，正文间穿插孔子、芒格法官和《天路历程》等解释性资料，需标为编者注。,editorial/munger/collation/poor-charlie-talks/munger-poor-charlie-talk-ten_中英校勘包.md,true
