节点编号,共同主题,巴菲特表达,芒格表达,关系类型,关键差异,编辑处理
CO-01,股票与企业,股票是企业部分所有权，价值来自企业未来现金。,接受企业所有权视角，并强调能力圈与机会成本。,共同,巴菲特以股东信和企业案例展开；芒格更偏筛选框架。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-02,能力圈,在理解范围内估值并行动。,知道边界比扩大边界更重要，难题进入“太难”篮子。,共同但侧重不同,巴菲特落在企业分析；芒格落在元认知。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-03,安全边际,价格相对价值的保护垫，目标是避免永久损失。,反复使用并与工程冗余、避错结合。,共同,概念源自格雷厄姆，不应归为二人原创。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-04,企业质量,高资本回报、低增量资本、持久护城河。,从机会成本出发，只等待少数卓越企业。,共同,巴菲特给出更多公司史和资本数据。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-05,护城河,强调持久竞争优势、品牌、低成本和定价权。,强调模型化识别与规模效应。,共同但证据结构不同,巴菲特是成熟定义主源；芒格多在问答中应用。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-06,管理层,能力、诚信、所有者意识及资本配置。,激励、理性、可信赖和避免代理问题。,共同,巴菲特侧重选人和授权；芒格侧重激励机制。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-07,资本配置,留存、分红、回购、收购和现金的动态选择。,用机会成本评价高管，并推崇辛格尔顿式纪律。,共同,巴菲特形成伯克希尔制度；芒格提供判断标尺。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-08,集中投资,事实、逻辑和安全边际足够时允许重仓。,好机会稀少，等待后应拿大桶承接。,共同,两者都不支持无研究能力的模仿。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-09,长期持有,好企业与好管理层让时间成为朋友。,坐等式投资减少不必要行动。,共同,巴菲特更强调企业现金与税务；芒格更强调性情。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-10,市场波动,市场提供价格，不提供企业信息；恐慌创造机会。,把市场狂热视为多种心理倾向叠加。,共同但解释层不同,巴菲特从所有者角度；芒格从心理机制角度。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-11,风险,核心是购买力永久损失，不是贝塔。,先研究失败方式、冗余、激励和心理误判。,共同但方法不同,巴菲特给定义；芒格给检查工具。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-12,会计与现实,所有者收益和透视收益优先于表面数字。,会计是必要语言，但要识别激励和局限。,共同,巴菲特公式更具体；芒格批评更跨学科。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-13,保险浮存金,伯克希尔资本结构与复利发动机。,参与判断但不是芒格思想体系主轴。,巴菲特侧重,主书中主要归入巴菲特卷。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-14,多元模型,实践中使用但较少系统讲授。,明确提出知识格栅和跨学科训练。,芒格侧重,主书中主要归入芒格卷。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-15,人类误判,在市场、机构和管理层案例中具体呈现。,建立系统心理倾向清单和叠加效应。,芒格侧重,巴菲特案例可作应用，不把体系归给巴菲特。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-16,企业制度,伯克希尔的去中心化、信任、声誉与股东沟通。,强调应得信任、激励与难以作弊的制度。,共同但制度对象不同,巴菲特是公司制度；芒格是一般制度设计。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-17,学习,从格雷厄姆、费雪、芒格和企业错误中演变。,阅读、跨学科、反证和向已故之人学习。,共同,巴菲特以方法演变呈现；芒格以认知训练呈现。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
CO-18,品格与人生,声誉、承诺、股东责任和长期关系。,可靠、谦逊、远离嫉妒怨恨和意识形态。,共同但语气不同,巴菲特温和具体；芒格常用反讽和逆向。,共同原则建立交叉引用；人物原话、案例和章节归属分别保留。
