relative,title,topDirectory,area,person,mentionedBuffett,mentionedMunger,kind,year,language,completeness,warnings,evidenceStatus,decision,reason,workKey,chars,bytes,lines,modified,speakerBuffett,speakerMunger,sourceUrl,exactHash,canonicalHash
content/articles/buffett/巴菲特_你应该了解珠宝生意.md,巴菲特: 你应该了解珠宝生意,content/articles,source-corpus,buffett,true,false,article-candidate,,zh,unknown,,uncertain-article,requires-source-review,是否属于本人原始文献尚不能仅凭路径和标题确定。,,1807,5085,32,2026-07-23T00:47:19.513Z,0,0,,c1d454a256501bed609547827b706fbe45ab28887479ae8f7dd4084b0229635f,4fb87860522a000395608066132f677d20b77e1c1810f262610b441b395f36a8
content/articles/buffett/巴菲特：500_亿美元的决定.md,巴菲特：500 亿美元的决定,content/articles,source-corpus,buffett,true,false,article-candidate,1951,zh,unknown,,uncertain-article,requires-source-review,是否属于本人原始文献尚不能仅凭路径和标题确定。,,2125,6088,24,2026-07-23T00:47:19.354Z,0,0,,076fe800cde58674ec5547349d1dcd0e17291bb16c903c65a7956c4c68d95b61,7150efdffd3c7eea99cd91380311225dfd837bab2d719e03f121f487c3e8a4eb
content/articles/buffett/巴菲特：保险业的_FDIC_2001.md,巴菲特：保险业的 FDIC 2001,content/articles,source-corpus,buffett,true,false,article-candidate,2001,zh,unknown,,uncertain-article,requires-source-review,是否属于本人原始文献尚不能仅凭路径和标题确定。,,1743,5011,24,2026-07-23T00:47:19.475Z,0,0,,d8a1ede1f6282126b85b9ad5f1eed57fa6ff9dac74e98d921adae23abe1d3a9a,341e0c2634f73c00f7688330eccf7343a81038f9f4b6105bf50dd3ce826abfbd
content/articles/buffett/巴菲特：给保尔森的信_2008.md,巴菲特：给保尔森的信 2008,content/articles,source-corpus,buffett,true,false,article-candidate,2008,zh,unknown,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,2526,6670,44,2026-07-23T00:47:19.473Z,0,0,,223822934f8be2ed7244316a26eddbf4bb976a08bc8a42ff508600a564c2a0b8,0887981b0ce155197f1611b4a53b9fca9233783d8a5ce604d21b0a672d7fe9e3
content/articles/buffett/巴菲特：给全体经理人备忘录_2001.md,巴菲特：给全体经理人备忘录 2001,content/articles,source-corpus,buffett,true,false,article-candidate,2001,zh,metadata-or-fragment,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,771,2179,20,2026-07-23T00:47:19.493Z,0,0,,38e8d90218501035d75558ea1483a10bd2404f8289728bce97380fddf09cc262,5d86a93272b61dadc212b3931db76bef12e0803eec6c4f88f0e949909001b815
content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,巴菲特：给全体经理人备忘录 2006,content/articles,source-corpus,buffett,true,false,article-candidate,2006,zh,metadata-or-fragment,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,831,2310,20,2026-07-23T00:47:19.494Z,0,0,,567a7b6262e8a4d2e86ebee73c45a623aa4d072d9b50dc07e0c95bcab15bf6a6,a146202c8873171532c3b6eee69e9ea2f963566d92bc2685472ffb91c6aa529a
content/articles/buffett/巴菲特：给全体经理人备忘录_2010.md,巴菲特：给全体经理人备忘录 2010,content/articles,source-corpus,buffett,true,true,article-candidate,2010,zh,unknown,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,2006,5737,24,2026-07-23T00:47:19.492Z,0,0,,0ea66c59bace93788ada4392ca7ae641833aa7ed96e8668b9f6788603ab302cf,c55c0307886393a2279eafd08605419f742628b3dcc5225c16d641c3a4eb61a2
content/articles/buffett/巴菲特：给全体经理人备忘录_2014.md,巴菲特：给全体经理人备忘录 2014,content/articles,source-corpus,buffett,true,true,article-candidate,2014,zh,unknown,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,2006,5715,28,2026-07-23T00:47:19.489Z,0,0,,39653bfe245ff45ac6997cdfad2ab38480a5de0e14d2a474743c41bf2cc00925,d1bb5554f87ad12b1d97549064169902a43d446067be635c9bcd5df155d584e7
content/articles/buffett/巴菲特：股票期权与常识_2002.md,巴菲特：股票期权与常识,content/articles,source-corpus,buffett,true,false,article-candidate,2002,zh,unknown,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,10231,27962,144,2026-08-05T01:30:29.582Z,0,0,,ace5b7b78119b520ce342328ac4aaccd7a2fd59b0ac19a98fb1ebe0e0eed658c,5a6b7f46abe4c957576a3a72eb005971dfef05f09611242f4a4735a3e38f6a19
content/articles/buffett/巴菲特：股息巫术_2003.md,巴菲特：股息巫术 2003,content/articles,source-corpus,buffett,true,false,article-candidate,2003,zh,unknown,,primary-authored-candidate,candidate-primary-review,可能是本人署名文章、信件或备忘录，需逐篇核验署名和来源。,,1828,5047,26,2026-07-23T00:47:19.460Z,0,0,,cd8a219b99c7ac7122bb9f22cbcb425dfc38c76395180f8934bec3dcf41e075a,0a9926964f5ff7a0bde212ec3d78dcf1763c783d2a46903d007c717bddfa96fc
