章节,来源路径,使用方式,内容身份
buffett-ch-10,content/letters/berkshire_1986-巴菲特致股东信.md,资本配置第二工作,巴菲特股东信中文翻译
buffett-ch-10,content/letters/berkshire_1978-巴菲特致股东信.md,留存收益双向检验,巴菲特股东信中文翻译
buffett-ch-10,content/letters/berkshire_2018-巴菲特致股东信.md,多业务资本系统,巴菲特股东信中文翻译
buffett-ch-11,content/letters/berkshire_2015-巴菲特致股东信.md,回购标准,巴菲特股东信中文翻译
buffett-ch-11,content/letters/berkshire_2005-巴菲特致股东信.md,收购六项标准,巴菲特股东信中文翻译
buffett-ch-11,content/letters/berkshire_1988-巴菲特致股东信.md,永久持有条件,巴菲特股东信中文翻译
buffett-ch-11,content/articles/buffett/伯克希尔股东手册_1996.md,股份发行和所有者原则,巴菲特股东手册中文翻译
buffett-ch-12,content/letters/berkshire_2019-巴菲特致股东信.md,浮存金定义和完整证据,巴菲特股东信中文翻译
buffett-ch-12,content/letters/berkshire_2024-巴菲特致股东信.md,零成本条件与最新成熟表达,巴菲特股东信中文翻译
buffett-ch-12,content/letters/berkshire_2016-巴菲特致股东信.md,国民保险与GEICO,巴菲特股东信中文翻译
buffett-ch-12,content/letters/berkshire_2002-巴菲特致股东信.md,准备金和再保险边界,巴菲特股东信中文翻译
buffett-ch-12,content/letters/berkshire_2014-巴菲特致股东信.md,承保纪律,巴菲特股东信中文翻译
buffett-ch-13,content/letters/berkshire_2011-巴菲特致股东信.md,购买力风险和资产分类,巴菲特股东信中文翻译
buffett-ch-13,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,永久损失,巴菲特合伙人信中文翻译
buffett-ch-13,content/letters/berkshire_2003-巴菲特致股东信.md,杠杆、衍生品与机会挟持,巴菲特股东信中文翻译
buffett-ch-14,content/letters/berkshire_2008-巴菲特致股东信.md,危机投资,巴菲特股东信中文翻译
buffett-ch-14,content/letters/berkshire_2021-巴菲特致股东信.md,现金最低承诺,巴菲特股东信中文翻译
buffett-ch-14,content/letters/berkshire_2024-巴菲特致股东信.md,股权优先于现金,巴菲特股东信中文翻译
buffett-ch-14,content/letters/berkshire_2018-巴菲特致股东信.md,金融堡垒,巴菲特股东信中文翻译
buffett-ch-15,content/letters/berkshire_2022-巴菲特致股东信.md,所有权形式、少数赢家与58年复盘,巴菲特股东信中文翻译
buffett-ch-15,content/letters/berkshire_1985-巴菲特致股东信.md,股东关系和价值,巴菲特股东信中文翻译
buffett-ch-15,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,制度与接班,巴菲特与芒格回顾文章中文翻译，身份分列
buffett-ch-15,content/people/托德·库姆斯.md,投资经理接班侧栏,人物背景资料／编辑整理
buffett-ch-15,content/people/泰德·韦施勒.md,投资经理接班侧栏,人物背景资料／编辑整理
buffett-ch-15,content/people/格雷格·阿贝尔.md,CEO接班侧栏,人物背景资料／编辑整理
buffett-ch-04,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,主引文、安全边际与集中条件,巴菲特合伙人信中文翻译
buffett-ch-04,content/talks/巴菲特：哥大商学院演讲_1984.md,格雷厄姆—多德投资者,演讲中文翻译／转录
buffett-ch-04,content/articles/buffett/巴菲特谈施洛斯的信_1994.md,烟蒂方法边界,专题文章中文翻译／编辑整理
buffett-ch-05,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,烟蒂、收购经过与长期复盘,巴菲特与芒格回顾文章中文翻译，身份分列
buffett-ch-05,content/letters/berkshire_1985-巴菲特致股东信.md,关闭纺织完整案例,巴菲特股东信中文翻译
buffett-ch-05,content/letters/berkshire_2022-巴菲特致股东信.md,58年资本配置复盘,巴菲特股东信中文翻译
buffett-ch-06,content/articles/buffett/巴菲特谈喜诗糖果_1972.md,收购现场与品牌维护,信件译文与编辑汇编
buffett-ch-06,content/letters/berkshire_1983-巴菲特致股东信.md,经济商誉与资本需求,巴菲特股东信中文翻译
buffett-ch-06,content/letters/berkshire_1987-巴菲特致股东信.md,现金释放与经理人,巴菲特股东信中文翻译
buffett-ch-06,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,长期结果,巴菲特与芒格回顾文章中文翻译，身份分列
buffett-ch-07,content/letters/berkshire_2007-巴菲特致股东信.md,护城河与三类企业,巴菲特股东信中文翻译
buffett-ch-07,content/letters/berkshire_1978-巴菲特致股东信.md,增长和留存边界,巴菲特股东信中文翻译
buffett-ch-07,content/letters/berkshire_1988-巴菲特致股东信.md,永久持有条件,巴菲特股东信中文翻译
buffett-ch-07,content/letters/berkshire_2016-巴菲特致股东信.md,GEICO低成本案例,巴菲特股东信中文翻译
buffett-ch-08,content/letters/berkshire_1987-巴菲特致股东信.md,能力、精力、正直与授权,巴菲特股东信中文翻译
buffett-ch-08,content/letters/berkshire_2007-巴菲特致股东信.md,超级明星边界,巴菲特股东信中文翻译
buffett-ch-08,content/people/B夫人.md,人物语境,人物背景资料／编辑整理
buffett-ch-08,content/people/格雷格·阿贝尔.md,接班语境,人物背景资料／编辑整理
buffett-ch-09,content/letters/berkshire_2022-巴菲特致股东信.md,权责和品行红线,巴菲特股东信中文翻译
buffett-ch-09,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,声誉与报纸测试,巴菲特内部备忘录中文翻译
buffett-ch-09,content/articles/buffett/巴菲特致所罗门股东信_1991.md,所罗门危机,巴菲特原始文献中文翻译
buffett-ch-09,content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md,分权结构,巴菲特与芒格回顾文章中文翻译，身份分列
