编号,文件路径,原分级,内容身份,原映射,审阅状态,二次精编决定,实际或计划位置,决定理由,文件字符数,典藏层
P1R-01,content/articles/buffett/巴菲特：股票期权与常识_2002.md,A,专题文章中文翻译/编辑整理,buffett-ch-01,已逐篇审阅,采用,buffett-ch-03,股票期权经济成本与所有者稀释案例,10055,保留
P1R-02,content/articles/buffett/巴菲特：回忆进入证券行业_2005.md,B,专题文章中文翻译/编辑整理,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01,早期思想形成与格雷厄姆影响,1495,保留
P1R-03,content/articles/buffett/巴菲特：模糊数学与股票期权_2004.md,B,专题文章中文翻译/编辑整理,buffett-ch-02,已逐篇审阅,采用,buffett-ch-03,不能因估计困难而假装成本不存在的反例,1750,保留
P1R-04,content/articles/buffett/巴菲特估值逻辑.md,D,专题文章中文翻译/编辑整理,buffett-ch-02,已逐篇审阅,由主版本承接,完整典藏层,内容身份和来源链弱于1992年股东信，不承担直接引文,9243,保留
P1R-05,content/articles/buffett/巴菲特谈投资_1985.md,B,专题文章中文翻译/编辑整理,buffett-ch-02,已逐篇审阅,采用,buffett-ch-01,所有者视角、市场关闭测试与能力圈,3122,保留
P1R-06,content/articles/buffett/巴菲特谈指数期货_1982.md,B,专题文章中文翻译/编辑整理,buffett-ch-01,已逐篇审阅,转入侧栏/索引,buffett-ch-01,补充交易刺激与社会成本边界，不展开制度史,2762,保留
P1R-07,content/articles/buffett/我最看好的股票：人寿保险_1957.md,B,专题文章中文翻译/编辑整理,buffett-ch-02,已逐篇审阅,采用,buffett-ch-02,早期以资产、盈利和价格交叉估值的完整案例,1475,保留
P1R-08,content/articles/other/「所有者收益」vs「自由现金流」.md,B,第三方文章/编辑资料,buffett-ch-01,已逐篇审阅,采用（编辑扩展）,buffett-ch-03,现代自由现金流口径对照；不得当作巴菲特原话,25432,保留
P1R-09,content/articles/other/关于市场先生和人性的理解.md,C,第三方文章/编辑资料,buffett-ch-02,已逐篇审阅,转入侧栏/索引,buffett-ch-01,二手整理，格雷厄姆原理只作检索，不替代巴菲特主证据,32986,保留
P1R-10,content/books/巴菲特之道-核心要点.md,C,图书要点/二手概括,buffett-ch-01,已逐篇审阅,由主版本承接,完整典藏层,二手要点由股东信和案例承接,728,保留
