编号,章节,引文功能,引文定位文字,来源路径,时间与场合,内容身份,核验状态
P1-Q01,第一章,核心观察位置,他们并不真正认为自己拥有企业的一部分。,content/articles/buffett/巴菲特谈投资_1985.md,1985年电视访谈,巴菲特访谈中文转录,已定位
P1-Q02,第一章,市场关闭思想实验,即使股市五年不开市你都不用担心。,content/articles/buffett/巴菲特谈投资_1985.md,1985年电视访谈,巴菲特访谈中文转录,已定位
P1-Q03,第一章,股东制度,我个人更倾向于市场价格始终贴近企业的内在价值。,content/letters/berkshire_1985-巴菲特致股东信.md,1985年股东信,巴菲特股东信中文翻译,已定位
P1-Q04,第一章,所有者合伙关系,查理·芒格跟我把股东视为所有者合伙人。,content/letters/berkshire_1983-巴菲特致股东信.md,1983年股东信,巴菲特股东信中文翻译,已定位
P1-Q05,第二章,账面价值边界,真正重要的当然是每股内在商业价值的增长率而非账面价值。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年股东信,巴菲特股东信中文翻译,已定位
P1-Q06,第二章,价值定义,价值取决于预期现金流入和流出以适当利率折现后的现值。,content/letters/berkshire_1992-巴菲特致股东信.md,1992年股东信,巴菲特股东信中文翻译；公式源流为约翰·伯尔·威廉姆斯,已定位
P1-Q07,第二章,估值边界,我们坚持在买入价格上留有安全边际。,content/letters/berkshire_1992-巴菲特致股东信.md,1992年股东信,巴菲特股东信中文翻译,已定位
P1-Q08,第三章,所有者收益定义,所有者收益等于报告收益加非现金费用减维持竞争地位所需资本化支出。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年股东信,巴菲特股东信中文翻译,已定位
P1-Q09,第三章,估计边界,我宁要模糊的正确也不要精确的错误。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年股东信,巴菲特引用凯恩斯,已定位且已说明思想源流
P1-Q10,第三章,会计与决策,会计结果不会影响我们的经营或资本配置决策。,content/letters/berkshire_1983-巴菲特致股东信.md,1983年股东信,巴菲特股东信中文翻译,已定位
P1-Q11,第一章,思想形成,因为别人同意你的观点并不能说明你是对是错；事实和推理才是尺度。,content/articles/buffett/巴菲特：回忆进入证券行业_2005.md,2005年人物回顾文章,专题文章中文翻译；含人物自述与编辑整理,已定位并保留身份说明
P1-Q12,第二章,早期市场纪律,被低估股票的价格可能随大盘下跌而内在价值并未减损。,content/partnership/partnership_1958-巴菲特致合伙人信.md,1958年合伙人信,巴菲特合伙人信中文翻译,已定位
P1-Q13,第二章,投资方法演变,低估类、套利类和控制类的权利与价值实现路径不同。,content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,1961年年度合伙人信,巴菲特合伙人信中文翻译,已定位
P1-Q14,第二章,早期估值案例,Home Protective的资产、盈利、保险结构与价格比较。,content/articles/buffett/我最看好的股票：人寿保险_1957.md,1957年投稿,专题文章中文翻译,已定位
P1-Q15,第二章,完整价格价值案例,华盛顿邮报商业价值增长、回购与折价收窄三条回报来源。,content/letters/berkshire_1985-巴菲特致股东信.md,1985年股东信,巴菲特股东信中文翻译,已定位
P1-Q16,第二章,跨市场边界,同一公司A股与境外股份出现显著价格差异。,content/interviews/巴菲特：对话_IVEY_商学院学生_2008.md,2008年商学院对话,访谈转录与中文整理,已定位并标为边界案例
P1-Q17,第三章,股权激励成本,期权没有当期现金流出仍具有真实机会成本。,content/articles/buffett/巴菲特：股票期权与常识_2002.md,2002年署名评论,专题文章中文翻译；文件后半含解释性整理,已限定使用范围
P1-Q18,第三章,估计边界,无法精确估值不能成为把期权成本记为零的理由。,content/articles/buffett/巴菲特：模糊数学与股票期权_2004.md,2004年署名评论,专题文章中文翻译,已定位
