order,status,theme_id,theme,year,title,file,primary,hash,mapping_basis
"19","primary","02","企业值多少钱","","沃伦·巴菲特","content/people/沃伦·巴菲特.md","content/people/沃伦·巴菲特.md","2d1f88fc45b7eb8bb097c956fd72915ca9af0d88d9f502042802dd010a61379f","coverage"
"158","primary","06","风险与错误","","巴菲特青春时代","content/articles/buffett/巴菲特青春时代.md","content/articles/buffett/巴菲特青春时代.md","e030d225e5d3499bb45283d23f44a21198e96cbda8a0e344d41b038516aff3c4","coverage"
"156","primary","06","风险与错误","","巴菲特：500 亿美元的决定","content/articles/buffett/巴菲特：500_亿美元的决定.md","content/articles/buffett/巴菲特：500_亿美元的决定.md","7150efdffd3c7eea99cd91380311225dfd837bab2d719e03f121f487c3e8a4eb","coverage"
"126","primary","04","资本应该怎样配置","","伯克希尔 50 周年：过去、现在和未来","content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md","content/articles/buffett/伯克希尔_50_周年：过去、现在和未来.md","a81840213acd2192fd70fe063987c0d054fa7b39fed2f05cf360cacf764f345f","coverage"
"30","primary","04","资本应该怎样配置","1951","我最看好的股票：GEICO 保险 1951","content/articles/buffett/我最看好的股票：GEICO_保险_1951.md","content/articles/buffett/我最看好的股票：GEICO_保险_1951.md","8cf8fefd25f56b3fe33bd43996aa47badd8bbf2a83bbd704283fc17fa70c469c","coverage"
"31","primary","04","资本应该怎样配置","1953","我最看好的股票：西部保险 1953","content/articles/buffett/我最看好的股票：西部保险_1953.md","content/articles/buffett/我最看好的股票：西部保险_1953.md","a779f43d32b0fec9090528943a8b76ff8d109b3f332378a17dc7eac2938d1add","coverage"
"32","primary","04","资本应该怎样配置","1956","partnership_1956-有限合伙协议","content/partnership/partnership_1956-有限合伙协议.md","content/partnership/partnership_1956-有限合伙协议.md","bcd15866a56cdf7cab154a933d079b23f97abd8f5dd2e710017468af2f7ff7fa","coverage"
"4","primary","02","企业值多少钱","1957","我最看好的股票：人寿保险 1957","content/articles/buffett/我最看好的股票：人寿保险_1957.md","content/articles/buffett/我最看好的股票：人寿保险_1957.md","c1c0ca10b2e2b76cf7e4a0fa596fdf43ca0ad54d67b805dcb65d56896eb0fe30","coverage"
"33","primary","04","资本应该怎样配置","1957","我最看好的股票：油气资产管理公司 1957","content/articles/buffett/我最看好的股票：油气资产管理公司_1957.md","content/articles/buffett/我最看好的股票：油气资产管理公司_1957.md","803e7a5f2bbff3bfc35ca0e0b61fd466bcea552442c9cd2c4592d331bef0ebe4","coverage"
"34","primary","04","资本应该怎样配置","1957","partnership_1957-巴菲特致合伙人信","content/partnership/partnership_1957-巴菲特致合伙人信.md","content/partnership/partnership_1957-巴菲特致合伙人信.md","2d66e1c88c380bb8fbae772e031422251d41cd7bfe0586437cd8945f295af6df","coverage"
"5","primary","02","企业值多少钱","1958","partnership_1958-巴菲特致合伙人信","content/partnership/partnership_1958-巴菲特致合伙人信.md","content/partnership/partnership_1958-巴菲特致合伙人信.md","d7df4df8f66a7f5075d7a7ad97deca73d31d7d38e097a5fc29131ce7defbaeef","coverage"
"6","primary","02","企业值多少钱","1959","partnership_1959-巴菲特致合伙人信","content/partnership/partnership_1959-巴菲特致合伙人信.md","content/partnership/partnership_1959-巴菲特致合伙人信.md","47d8455e15edc54437db38b31f8e4fa583ae631ef84abd64d317438cbefc9dbe","coverage"
"35","primary","04","资本应该怎样配置","1960","partnership_1960-巴菲特致合伙人信","content/partnership/partnership_1960-巴菲特致合伙人信.md","content/partnership/partnership_1960-巴菲特致合伙人信.md","1ae5cbaaf0e6e3b86201f8bc021488534e4c4fdc6f6b3510918f7b72a0842423","coverage"
"36","primary","04","资本应该怎样配置","1961","partnership_1961-interim-巴菲特致合伙人信","content/partnership/partnership_1961-interim-巴菲特致合伙人信.md","content/partnership/partnership_1961-interim-巴菲特致合伙人信.md","4856f98433118ff8521331125151e8dbe5c0e5b680aebe2233e26032155041e8","coverage"
"7","primary","02","企业值多少钱","1961","partnership_1961-annual-巴菲特致合伙人信","content/partnership/partnership_1961-annual-巴菲特致合伙人信.md","content/partnership/partnership_1961-annual-巴菲特致合伙人信.md","60f0385046defcdf069d9405d0fa5609cdfd684b0c417a530c936341509baa98","coverage"
"39","primary","04","资本应该怎样配置","1962","partnership_1962-interim-巴菲特致合伙人信","content/partnership/partnership_1962-interim-巴菲特致合伙人信.md","content/partnership/partnership_1962-interim-巴菲特致合伙人信.md","a80fe36880ae7b83b3ca0d2da22b960ddcad515e181108c1749838b8a9ab79cc","coverage"
