节点编号,一级主题,二级主题,核心命题,人物原始表达,来源文件,时间与背景,底层机制,代表案例,思想演变,常见误解,适用边界,相关节点,建议章节,书内锚点,编辑可信度
BS-001,所有者思维,股票就是企业,股票首先代表企业的部分所有权，价格只是交易条件。,他们并不真正认为自己拥有企业的一部分。,content/articles/buffett/巴菲特谈投资_1985.md,1985年，投资访谈/讲话记录,把证券价格问题还原为企业现金流、资本需求和所有者权利。,股市五年不开市的思想实验,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,只有能够理解企业经济特征时，这一视角才可操作。,BA-003|BA-017,第一篇 股票不是筹码,bs-001,高
BS-002,所有者收益,会计与经济现实|估值,所有者收益比会计利润更接近可供所有者支配的经济收益。,所有者收益等于：(a)报告收益，加上(b)折旧、折耗、摊销及其他某些非现金费用（如N公司的第(1)项和第(4)项），减去(c)企业为充分维持其长期竞争地位和产销规模，而在厂房、设备等方面每年平均需要进行的资本化支出。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,斯科特费泽与喜诗糖果,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,维持性资本支出必须估计，公式不能制造虚假精确。,BA-004|BA-007,第二篇 企业怎样创造现金,bs-002,高
BS-003,内在价值,账面价值|所有者思维,内在价值而非账面价值或短期市价，是所有者真正应追踪的尺度。,真正重要的，当然是每股内在商业价值的增长率，而非账面价值。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,把证券价格问题还原为企业现金流、资本需求和所有者权利。,贝尔里奇石油与破产公司的账面价值,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,内在价值是估计值，账面价值在特定公司只能充当替代指标。,BA-001|BA-004,第二篇 价值不在报表表面,bs-003,高
BS-004,内在价值,现金流折现|估值,资产价值等于存续期现金流按适当利率折现后的现值。,今天任何一只股票、债券或一家企业的价值，取决于在其剩余存续期间预期发生的现金流入和流出——以适当的利率折现后的现值。,content/letters/berkshire_1992-巴菲特致股东信.md,1992年，伯克希尔股东信,以未来可分配现金流和机会成本连接价格与价值。,股票与债券的“票息”差异,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为现金越多越好，或现金永远拖累价值。,未来现金流和折现率都存在不确定性；不能把公式当作自动答案。,BA-002|BA-005,第二篇 内在价值的计算与判断,bs-004,高
BS-005,安全边际,风险|早期方法,安全边际的目标是降低永久性资本损失，而非避免账面波动。,我们在每一笔投资中都追求极大的安全边际并分散投资，力图将永久性资本损失（不是短期账面亏损）的风险降到绝对最小值。,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,1965年11月，合伙人信,永久损失概率由资产质量、价格、杠杆、期限和行为共同决定。,巴菲特合伙公司投资原则,1950—1960年代以格雷厄姆式低估和资产保护为起点；此后转向企业质量与长期持有。,误解为价格波动完全无关紧要。,安全边际依赖对价值和风险的可靠估计，不是低市盈率同义词。,BA-006|BA-018,第二篇 给判断留余地,bs-005,高
BS-006,集中投资,概率|安全边际,高度确信且下行受控时，集中投资优于机械分散。,在这种情况下，我们可能最多拿出40%的净资产用于这笔投资。,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,1965年11月，合伙人信,能力圈、机会成本、赔率与耐心共同筛选少数机会。,合伙公司高确信投资,1950—1960年代以格雷厄姆式低估和资产保护为起点；此后转向企业质量与长期持有。,误解为一个脱离价格、条件和制度背景的投资口号。,集中要求事实、逻辑和风险承受能力同时成立，不适用于缺乏研究能力者。,BA-005|BA-019,第二篇 集中并非豪赌,bs-006,高
BS-007,企业质量,资本回报率|自由现金,伟大企业能以少量增量资本维持竞争力并释放现金。,由于经营这些业务所需的资本极少，它们可以在自身增长的同时，将几乎全部收益释放出来投入新的机会。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,高资本回报、持久优势与低增量资本共同释放可再配置现金。,内布拉斯加家具城、喜诗等七家企业,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为现金越多越好，或现金永远拖累价值。,轻资本不是唯一好模式；高再投资回报的重资本企业也可能优秀。,BA-002|BA-008|BA-013,第三篇 什么是好企业,bs-007,高
BS-008,护城河,竞争优势|资本回报率,持久护城河保护企业的高资本回报率免受竞争侵蚀。,一家真正伟大的企业必须拥有一条持久的“护城河”，保护其投入资本获得丰厚回报。,content/letters/berkshire_2007-巴菲特致股东信.md,2007年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,GEICO低成本与可口可乐品牌,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为贴上品牌或低成本标签即可证明优势持久。,需要不断重建的优势不具备同等确定性；护城河必须动态检验。,BA-007|BA-009,第三篇 护城河必须经得住时间,bs-008,高
BS-009,管理层,制度|护城河,企业若依赖单一超级明星，就缺少可持续的制度性优势。,如果一个企业需要一个超级明星才能取得卓越成果，那这个企业本身就算不上伟大。,content/letters/berkshire_2007-巴菲特致股东信.md,2007年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,梅奥诊所与首席外科医生对比,1970年代喜诗等案例推动质量意识，1980年代形成“好企业＋好管理层＋长期持有”的成熟表达。,误解为贴上品牌或低成本标签即可证明优势持久。,某些专业服务企业确实依赖关键人才，不能机械套用。,BA-008|BA-010,第三篇 企业不能只靠英雄,bs-009,高
BS-010,管理层,诚信|企业文化,好企业还需要能干、正直并与所有者利益一致的管理层。,每一位都将卓越的才能、充沛的精力和正直的品格融为一体，创造出了杰出的财务成果。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,通过事实、激励、机会成本和反馈机制把原则转化为判断。,布卢姆金家族、哈金斯等经理人,在历年股东信中由原则表达逐步转化为伯克希尔制度和长期案例。,误解为一个脱离价格、条件和制度背景的投资口号。,仅凭历史业绩不能完全判断诚信；激励和权力结构同样重要。,BA-009|BA-011,第四篇 判断经营者,bs-010,高
