节点编号,人物,核心命题,原始表达,来源文件,时间与场合,内容身份,主题标签,代表案例,相关观点,适用边界,建议章节,可信度,编辑备注
BA-001,巴菲特,股票首先代表企业的部分所有权，价格只是交易条件。,他们并不真正认为自己拥有企业的一部分。,content/articles/buffett/巴菲特谈投资_1985.md,1985年，投资访谈/讲话记录,人物原话的中文转录,所有者思维|股票就是企业,股市五年不开市的思想实验,BA-003|BA-017,只有能够理解企业经济特征时，这一视角才可操作。,第一篇 股票不是筹码,高,主书开篇命题；保留现场问答语气。
BA-002,巴菲特,所有者收益比会计利润更接近可供所有者支配的经济收益。,所有者收益等于：(a)报告收益，加上(b)折旧、折耗、摊销及其他某些非现金费用（如N公司的第(1)项和第(4)项），减去(c)企业为充分维持其长期竞争地位和产销规模，而在厂房、设备等方面每年平均需要进行的资本化支出。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年，伯克希尔股东信,巴菲特原始文献的中文翻译,所有者收益|会计与经济现实|估值,斯科特费泽与喜诗糖果,BA-004|BA-007,维持性资本支出必须估计，公式不能制造虚假精确。,第二篇 企业怎样创造现金,高,应配公式图，并保留“模糊的正确”边界。
BA-003,巴菲特,内在价值而非账面价值或短期市价，是所有者真正应追踪的尺度。,真正重要的，当然是每股内在商业价值的增长率，而非账面价值。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,巴菲特原始文献的中文翻译,内在价值|账面价值|所有者思维,贝尔里奇石油与破产公司的账面价值,BA-001|BA-004,内在价值是估计值，账面价值在特定公司只能充当替代指标。,第二篇 价值不在报表表面,高,与伯克希尔衡量标准的历史变化并列。
BA-004,巴菲特,资产价值等于存续期现金流按适当利率折现后的现值。,今天任何一只股票、债券或一家企业的价值，取决于在其剩余存续期间预期发生的现金流入和流出——以适当的利率折现后的现值。,content/letters/berkshire_1992-巴菲特致股东信.md,1992年，伯克希尔股东信,巴菲特原始文献的中文翻译,内在价值|现金流折现|估值,股票与债券的“票息”差异,BA-002|BA-005,未来现金流和折现率都存在不确定性；不能把公式当作自动答案。,第二篇 内在价值的计算与判断,高,注明约翰·伯尔·威廉姆斯的思想来源。
BA-005,巴菲特,安全边际的目标是降低永久性资本损失，而非避免账面波动。,我们在每一笔投资中都追求极大的安全边际并分散投资，力图将永久性资本损失（不是短期账面亏损）的风险降到绝对最小值。,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,1965年11月，合伙人信,巴菲特原始文献的中文翻译,安全边际|风险|早期方法,巴菲特合伙公司投资原则,BA-006|BA-018,安全边际依赖对价值和风险的可靠估计，不是低市盈率同义词。,第二篇 给判断留余地,高,体现格雷厄姆阶段，同时为后来的优质企业框架铺垫。
BA-006,巴菲特,高度确信且下行受控时，集中投资优于机械分散。,在这种情况下，我们可能最多拿出40%的净资产用于这笔投资。,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,1965年11月，合伙人信,巴菲特原始文献的中文翻译,集中投资|概率|安全边际,合伙公司高确信投资,BA-005|BA-019,集中要求事实、逻辑和风险承受能力同时成立，不适用于缺乏研究能力者。,第二篇 集中并非豪赌,高,与后期能力圈和机会成本连接。
BA-007,巴菲特,伟大企业能以少量增量资本维持竞争力并释放现金。,由于经营这些业务所需的资本极少，它们可以在自身增长的同时，将几乎全部收益释放出来投入新的机会。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,巴菲特原始文献的中文翻译,企业质量|资本回报率|自由现金,内布拉斯加家具城、喜诗等七家企业,BA-002|BA-008|BA-013,轻资本不是唯一好模式；高再投资回报的重资本企业也可能优秀。,第三篇 什么是好企业,高,突出企业质量与资本配置的连接。
BA-008,巴菲特,持久护城河保护企业的高资本回报率免受竞争侵蚀。,一家真正伟大的企业必须拥有一条持久的“护城河”，保护其投入资本获得丰厚回报。,content/letters/berkshire_2007-巴菲特致股东信.md,2007年，伯克希尔股东信,巴菲特原始文献的中文翻译,护城河|竞争优势|资本回报率,GEICO低成本与可口可乐品牌,BA-007|BA-009,需要不断重建的优势不具备同等确定性；护城河必须动态检验。,第三篇 护城河必须经得住时间,高,避免把“护城河”写成静态标签清单。
BA-009,巴菲特,企业若依赖单一超级明星，就缺少可持续的制度性优势。,如果一个企业需要一个超级明星才能取得卓越成果，那这个企业本身就算不上伟大。,content/letters/berkshire_2007-巴菲特致股东信.md,2007年，伯克希尔股东信,巴菲特原始文献的中文翻译,管理层|制度|护城河,梅奥诊所与首席外科医生对比,BA-008|BA-010,某些专业服务企业确实依赖关键人才，不能机械套用。,第三篇 企业不能只靠英雄,高,用于区分人才质量与商业模式质量。
BA-010,巴菲特,好企业还需要能干、正直并与所有者利益一致的管理层。,每一位都将卓越的才能、充沛的精力和正直的品格融为一体，创造出了杰出的财务成果。,content/letters/berkshire_1987-巴菲特致股东信.md,1987年，伯克希尔股东信,巴菲特原始文献的中文翻译,管理层|诚信|企业文化,布卢姆金家族、哈金斯等经理人,BA-009|BA-011,仅凭历史业绩不能完全判断诚信；激励和权力结构同样重要。,第四篇 判断经营者,高,可与所罗门事件形成正反案例。
BA-011,巴菲特,伯克希尔以高度信任授权经营，但对品行问题零容忍。,我们对商业上的失误可以谅解；但对个人品行问题的容忍度为零。,content/letters/berkshire_2022-巴菲特致股东信.md,2022年，伯克希尔股东信,巴菲特原始文献的中文翻译,信任|去中心化|品行,伯克希尔子公司CEO制度,BA-010|BA-012|BA-023,信任不能替代必要的规则、审计和接班机制。,第四篇 信任与边界,高,应同时引用“信任和规章缺一不可”。
BA-012,巴菲特,声誉是分散经营体系中不可透支的共同资产。,伯克希尔的声誉掌握在你们手中。,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,2006年，致经理人备忘录,巴菲特原始备忘录的中文翻译,声誉|企业文化|管理边界,伯克希尔经理人行为规范,BA-011|BA-023,声誉原则需要转化为具体升级、报告和问责流程。,第四篇 声誉比利润更难修复,高,短文适合全文侧栏。
BA-013,巴菲特,资本配置是伯克希尔管理层的核心工作，留存越多责任越大。,查理跟我的第二项工作是资本配置，这对伯克希尔来说比大多数公司都更具挑战性。,content/letters/berkshire_1986-巴菲特致股东信.md,1986年，伯克希尔股东信,巴菲特原始文献的中文翻译,资本配置|留存收益|管理层,伯克希尔高盈利、低增量资本业务组合,BA-007|BA-014|BA-015,资本配置质量必须按长期增量价值评估，不能只看交易数量。,第五篇 经理人的第二项工作,高,“第二项工作”须与选经理人的第一项工作配对。
BA-014,巴菲特,留存收益只有能以有吸引力的回报率再投资时才合理。,如果某些行业对资本需求很低，或者管理层有把资金投入低回报项目的记录，那么收益就应该分配给股东或用来回购股票。,content/letters/berkshire_1978-巴菲特致股东信.md,1978年，伯克希尔股东信,巴菲特原始文献的中文翻译,留存收益|分红|回购,全资与少数股权企业的利润处理,BA-013|BA-015,不能仅因企业能增长就证明留存合理，关键是增量回报。,第五篇 一美元留存值多少,高,适合做资本去向决策树。
