文件ID,来源文件,标题,字符数,所属人物,内容身份,分级,分级理由,对应主题,推荐用途,主版本,替代版本,是否需要事实核验,是否存在错误归因风险,芒格模型身份层级,模型身份说明,编辑可信度
DOC-001,content/articles/buffett/巴菲特_你应该了解珠宝生意.md,巴菲特: 你应该了解珠宝生意,1791,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,企业质量与护城河|市场、风险与错误|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特_你应该了解珠宝生意.md,无,是,中,,,高
DOC-002,content/articles/buffett/巴菲特：500_亿美元的决定.md,巴菲特：500 亿美元的决定,2113,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,能力圈与集中投资|市场、风险与错误|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：500_亿美元的决定.md,无,是,中,,,高
DOC-003,content/articles/buffett/巴菲特：保险业的_FDIC_2001.md,巴菲特：保险业的 FDIC 2001,1731,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,保险与浮存金|市场、风险与错误|伯克希尔制度,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：保险业的_FDIC_2001.md,无,是,中,,,高
DOC-004,content/articles/buffett/巴菲特：给保尔森的信_2008.md,巴菲特：给保尔森的信 2008,2504,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|伯克希尔制度|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：给保尔森的信_2008.md,无,是,中,,,高
DOC-005,content/articles/buffett/巴菲特：给全体经理人备忘录_2001.md,巴菲特：给全体经理人备忘录 2001,761,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,保险与浮存金|伯克希尔制度|管理层与企业文化,主书核心正文素材,content/articles/buffett/巴菲特：给全体经理人备忘录_2001.md,无,是,中,,,高
DOC-006,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,巴菲特：给全体经理人备忘录 2006,821,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,管理层与企业文化|伯克希尔制度|保险与浮存金,主书核心正文素材,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,无,是,中,,,高
DOC-007,content/articles/buffett/巴菲特：给全体经理人备忘录_2010.md,巴菲特：给全体经理人备忘录 2010,1994,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,管理层与企业文化|伯克希尔制度|资本配置,主书核心正文素材,content/articles/buffett/巴菲特：给全体经理人备忘录_2010.md,无,是,中,,,高
DOC-008,content/articles/buffett/巴菲特：给全体经理人备忘录_2014.md,巴菲特：给全体经理人备忘录 2014,1992,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,管理层与企业文化|伯克希尔制度|资本配置,主书核心正文素材,content/articles/buffett/巴菲特：给全体经理人备忘录_2014.md,无,是,中,,,高
DOC-009,content/articles/buffett/巴菲特：股票期权与常识_2002.md,巴菲特：股票期权与常识 2002,9988,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,市场、风险与错误|资本配置|所有者思维,主书核心正文素材,content/articles/buffett/巴菲特：股票期权与常识_2002.md,无,是,中,,,高
DOC-010,content/articles/buffett/巴菲特：股息巫术_2003.md,巴菲特：股息巫术 2003,1815,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,资本配置|伯克希尔制度|市场、风险与错误,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：股息巫术_2003.md,无,是,中,,,高
DOC-011,content/articles/buffett/巴菲特：关于游牧者基金_2014.md,巴菲特：关于游牧者基金 2014,720,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,长期复利与品格|伯克希尔制度|资本配置,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：关于游牧者基金_2014.md,无,是,中,,,高
DOC-012,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_1976.md,巴菲特：怀念恩师格雷厄姆 1976,919,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,能力圈与集中投资,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_1976.md,无,是,中,,,高
DOC-013,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_2008.md,巴菲特：怀念恩师格雷厄姆 2008,6172,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,能力圈与集中投资|市场、风险与错误|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_2008.md,无,是,中,,,高
DOC-014,content/articles/buffett/巴菲特：回忆进入证券行业_2005.md,巴菲特：回忆进入证券行业 2005,1481,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|能力圈与集中投资|内在价值与安全边际,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：回忆进入证券行业_2005.md,无,是,中,,,高
DOC-015,content/articles/buffett/巴菲特：扩大所得税抵免比提高最低工资更好.md,巴菲特：扩大所得税抵免比提高最低工资更好,1834,巴菲特,专题文章中文翻译/编辑整理,B,主题相关且案例具体，适合章节案例或思想演变。,市场、风险与错误|长期复利与品格,案例/侧栏/延伸阅读,content/articles/buffett/巴菲特：扩大所得税抵免比提高最低工资更好.md,无,是,中,,,高
DOC-016,content/articles/buffett/巴菲特：买入美国正当时_2008.md,巴菲特：买入美国正当时 2008,1718,巴菲特,专题文章中文翻译/编辑整理,A,直接承载企业、资本配置、制度或风险核心命题。,市场、风险与错误|资本配置|长期复利与品格,主书核心正文素材,content/articles/buffett/巴菲特：买入美国正当时_2008.md,无,是,中,,,高
