模型编号,来源文件,模型名称,学科,身份层级,身份定义,芒格直接证据,主书建议,分级,需要事实核验,错误归因风险,编辑备注
MM-001,content/models/accounting-as-language-its-limits.md,会计作为商业语言及其局限,会计学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-002,content/models/action-reaction.md,作用力与反作用力,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-003,content/models/adaptation-path-dependence.md,适应性与路径依赖,复杂系统与决策科学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-004,content/models/adaptation.md,适应性,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-005,content/models/adaptive-radiation.md,适应性辐射,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-006,content/models/adversarial-system.md,对抗制与辩证过程,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-007,content/models/adverse-selection.md,逆向选择,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-008,content/models/agency-costs.md,代理成本,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-009,content/models/anchoring-bias.md,锚定偏差,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-010,content/models/antifragile-design.md,反脆弱设计,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-011,content/models/arithmetic-expected-value.md,算术期望值,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-012,content/models/asymmetric-information.md,信息不对称,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-013,content/models/asymmetry-convexity.md,不对称性与凸性,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-014,content/models/audit-independent-verification.md,审计与独立验证,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-015,content/models/authority-misinfluence-tendency.md,权威错误影响倾向,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-016,content/models/autocatalysis.md,自我催化模型,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-017,content/models/automation-checklists.md,自动化与检查清单,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-018,content/models/availability-misweighing-tendency.md,错误衡量易得性倾向,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-019,content/models/avoiding-ideology.md,避免意识形态偏见,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-020,content/models/avoiding-stupidity-over-seeking-brilliance.md,避蠢优于求智,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-021,content/models/basic-arithmetic-order-of-magnitude-estimation.md,基本算术与数量级估算,数学与统计学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-022,content/models/basic-game-theory.md,博弈论基础,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-023,content/models/basics-of-contract-law.md,合同法基本原则,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-024,content/models/bayes-theorem.md,贝叶斯定理,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-025,content/models/bayesian-updating.md,贝叶斯更新,复杂系统与决策科学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-026,content/models/bet-seldom-bet-big.md,少下注下大注,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-027,content/models/biological-redundancy.md,生物冗余设计,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-028,content/models/bottleneck-effect-founder-effect.md,瓶颈效应与创始人效应,生物学与进化论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-029,content/models/brand-power.md,品牌认同,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-030,content/models/breakpoints.md,断裂点,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-031,content/models/burden-of-proof.md,举证责任与证据标准,法学与政治学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-032,content/models/cash-flow-vs-earnings.md,现金流量vs利润,会计学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-033,content/models/catalysts.md,催化剂,物理学与化学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-034,content/models/checklist-method.md,检查清单方法,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-035,content/models/circle-of-competence-management-level.md,能力圈（管理层面）,管理学与商业,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-036,content/models/circle-of-competence-metacognitive-level.md,能力圈（元认知层面）,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-037,content/models/circle-of-competence.md,能力圈,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-038,content/models/co-evolution.md,协同进化,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-039,content/models/comparative-advantage.md,比较优势,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-040,content/models/competitive-destruction.md,竞争性毁灭,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-041,content/models/complex-adaptive-systems.md,复杂适应系统,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-042,content/models/complex-systems.md,复杂系统,复杂系统与决策科学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-043,content/models/compound-interest.md,复利效应,数学与统计学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-044,content/models/concentration-less-is-more.md,集中持仓,管理学与商业,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-045,content/models/conditional-probability-base-rates.md,条件概率与基础比率,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-046,content/models/confidence-calibration.md,置信度校准,元认知与思维方法论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
