锚点,书卷,类型,状态,定义文件,引用文件
buffett-app-checklist,巴菲特卷,附录,已定义,editorial/buffett/appendices/附录B_读者与复核检查清单.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-app-terms,巴菲特卷,附录,已定义,editorial/buffett/appendices/附录A_术语表与案例索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-app-timeline,巴菲特卷,附录,已定义,editorial/buffett/archives/典藏层_巴菲特思想与伯克希尔制度年表.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-case-insurance,巴菲特卷,案例,已定义,editorial/buffett/appendices/附录A_术语表与案例索引.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-case-sees,巴菲特卷,案例,已定义,editorial/buffett/appendices/附录A_术语表与案例索引.md|editorial/buffett/manuscript/全卷/所有者的眼光_巴菲特卷全卷锁定工作稿.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-01,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-02,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-03,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-04,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md
buffett-ch-05,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md
buffett-ch-06,巴菲特卷,章,已定义,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md,editorial/buffett/outline/巴菲特卷唯一融合三级目录.md|editorial/buffett/manuscript/巴菲特卷逐章证据规划.md|editorial/buffett/manuscript/样章_喜诗糖果、企业质量与资本配置.md|editorial/buffett/illustrations/巴菲特样章插图任务卡.md|editorial/shared/内部链接设计说明.md
