year,company,section_title,mapped_chapter,mapped_chapter_title,relevance,reason
1987,西科金融,储贷行业乱象丛生,9,第九章 群体、权威与被剥夺感,medium,包含关键词「储贷」，与「第九章 群体、权威与被剥夺感」主题高度相关
1987,西科金融,我们眼中的优秀管理者,12,第十二章 好企业让少行动成为优势,medium,包含关键词「优秀」，与「第十二章 好企业让少行动成为优势」主题高度相关
1987,西科金融,精密钢材的优秀文化,12,第十二章 好企业让少行动成为优势,medium,包含关键词「优秀」，与「第十二章 好企业让少行动成为优势」主题高度相关
1987,西科金融,汤姆·墨菲的故事告诉我们，只有经过失败，才能懂得谦卑,14,第十四章 应得信任：合作如何降低摩擦,high,包含关键词「墨菲、汤姆·墨菲、故事」，与「第十四章 应得信任：合作如何降低摩擦」主题高度相关
1987,西科金融,我们不愿持有市政债券，但没有更好的选择了,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1987,西科金融,关于投资包厘街储蓄银行,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1987,西科金融,保险业务进入了景气周期,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1987,西科金融,我们的收购风格,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1987,西科金融,我们根本没有预知未来的能力，即使出手也是如履薄冰,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1987,西科金融,1986年是否有收购的机会？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,联邦储蓄贷款保险公司的新动态：看到了理智的曙光,9,第九章 群体、权威与被剥夺感,high,包含关键词「联邦储蓄、储蓄贷款」，与「第九章 群体、权威与被剥夺感」主题高度相关
1988,西科金融,我们只能尽量如实地估算综合成本率,11,第十一章 穿过会计看商业现实,medium,包含关键词「成本」，与「第十一章 穿过会计看商业现实」主题高度相关
1988,西科金融,西科的收益率不可能超过伯克希尔,11,第十一章 穿过会计看商业现实,medium,包含关键词「收益率」，与「第十一章 穿过会计看商业现实」主题高度相关
1988,西科金融,喜欢简单干净的财报,11,第十一章 穿过会计看商业现实,medium,包含关键词「财报」，与「第十一章 穿过会计看商业现实」主题高度相关
1988,西科金融,所罗门兄弟公司的生意怎么能不是好生意呢？,12,第十二章 好企业让少行动成为优势,high,包含关键词「好生意、所罗门、所罗门兄弟」，与「第十二章 好企业让少行动成为优势」主题高度相关
1988,西科金融,西科的房地产项目,12,第十二章 好企业让少行动成为优势,high,包含关键词「房地产、地产」，与「第十二章 好企业让少行动成为优势」主题高度相关
1988,西科金融,西科的股东因为信任管理层而买入,12,第十二章 好企业让少行动成为优势,medium,包含关键词「管理层」，与「第十二章 好企业让少行动成为优势」主题高度相关
1988,西科金融,好的投资机会难找,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,向外国提供那么多贷款，非常愚蠢,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,西科将扩张还是收缩？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,西科的利差处于什么水平？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,衡量一家公司是否值得投资的标准,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,如何分析一家公司是否合理地使用了留存收益？,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1988,西科金融,西科的清算价值,16,第十六章 理性近乎一种道德义务,low,无明确关键词匹配，根据语义判断最接近「第十六章 理性近乎一种道德义务」
1989,西科金融,[行业制度存在死穴],8,第八章 激励：制度比劝诫更诚实,medium,包含关键词「制度」，与「第八章 激励：制度比劝诫更诚实」主题高度相关
1989,西科金融,[这不是自由市场经济制度，而是毁灭价值的经济制度],8,第八章 激励：制度比劝诫更诚实,medium,包含关键词「制度」，与「第八章 激励：制度比劝诫更诚实」主题高度相关
1989,西科金融,[坏制度助投机分子谋财],8,第八章 激励：制度比劝诫更诚实,medium,包含关键词「制度」，与「第八章 激励：制度比劝诫更诚实」主题高度相关
