person,placement,year,kind,title,relative,language,completeness,evidenceStatus,currentDecision,editorialGate,sourceSupport,sourcePaths,sourceSupportNote,sourceUrl,workKey,versionFamilyCount,gapFlags,chars,exactHash
buffett,buffett-volume,,article-candidate,巴菲特: 你应该了解珠宝生意,content/articles/buffett/巴菲特_你应该了解珠宝生意.md,zh,unknown,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1807,c1d454a256501bed609547827b706fbe45ab28887479ae8f7dd4084b0229635f
buffett,buffett-volume,1951,article-candidate,巴菲特：500 亿美元的决定,content/articles/buffett/巴菲特：500_亿美元的决定.md,zh,unknown,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2125,076fe800cde58674ec5547349d1dcd0e17291bb16c903c65a7956c4c68d95b61
buffett,buffett-volume,2001,article-candidate,巴菲特：保险业的 FDIC 2001,content/articles/buffett/巴菲特：保险业的_FDIC_2001.md,zh,unknown,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1743,d8a1ede1f6282126b85b9ad5f1eed57fa6ff9dac74e98d921adae23abe1d3a9a
buffett,buffett-volume,2008,article-candidate,巴菲特：给保尔森的信 2008,content/articles/buffett/巴菲特：给保尔森的信_2008.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2526,223822934f8be2ed7244316a26eddbf4bb976a08bc8a42ff508600a564c2a0b8
buffett,buffett-volume,2001,article-candidate,巴菲特：给全体经理人备忘录 2001,content/articles/buffett/巴菲特：给全体经理人备忘录_2001.md,zh,metadata-or-fragment,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,771,38e8d90218501035d75558ea1483a10bd2404f8289728bce97380fddf09cc262
buffett,buffett-volume,2006,article-candidate,巴菲特：给全体经理人备忘录 2006,content/articles/buffett/巴菲特：给全体经理人备忘录_2006.md,zh,metadata-or-fragment,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,831,567a7b6262e8a4d2e86ebee73c45a623aa4d072d9b50dc07e0c95bcab15bf6a6
buffett,buffett-volume,2010,article-candidate,巴菲特：给全体经理人备忘录 2010,content/articles/buffett/巴菲特：给全体经理人备忘录_2010.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2006,0ea66c59bace93788ada4392ca7ae641833aa7ed96e8668b9f6788603ab302cf
buffett,buffett-volume,2014,article-candidate,巴菲特：给全体经理人备忘录 2014,content/articles/buffett/巴菲特：给全体经理人备忘录_2014.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2006,39653bfe245ff45ac6997cdfad2ab38480a5de0e14d2a474743c41bf2cc00925
buffett,buffett-volume,2002,article-candidate,巴菲特：股票期权与常识,content/articles/buffett/巴菲特：股票期权与常识_2002.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,10231,ace5b7b78119b520ce342328ac4aaccd7a2fd59b0ac19a98fb1ebe0e0eed658c
buffett,buffett-volume,2003,article-candidate,巴菲特：股息巫术 2003,content/articles/buffett/巴菲特：股息巫术_2003.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1828,cd8a219b99c7ac7122bb9f22cbcb425dfc38c76395180f8934bec3dcf41e075a
buffett,buffett-volume,2014,article-candidate,巴菲特：关于游牧者基金 2014,content/articles/buffett/巴菲特：关于游牧者基金_2014.md,zh,metadata-or-fragment,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,732,7ac7bf6215657135d340bc324793f98846b32e49ae1c16b3aa715427723b518f
buffett,buffett-volume,1976,article-candidate,巴菲特：怀念恩师格雷厄姆 1976,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_1976.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,929,9a7c11b8ea2c61aed50a0dbb598437d4725a3a5121d037d6a67aa614c66f1036
buffett,buffett-volume,2008,article-candidate,巴菲特：怀念恩师格雷厄姆 2008,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_2008.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,6227,0a728c1f0a3d4ba870a099ebe6e68efa061ee391d06c0e630f47f96aab6fc571
buffett,buffett-volume,2005,article-candidate,巴菲特：回忆进入证券行业 2005,content/articles/buffett/巴菲特：回忆进入证券行业_2005.md,zh,unknown,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1495,f3a4c7fa44bfde6df4c54e7dcffa86609709ff1de72841b3aec17cfd2f1749b6
buffett,buffett-volume,2015,article-candidate,巴菲特：扩大所得税抵免比提高最低工资更好,content/articles/buffett/巴菲特：扩大所得税抵免比提高最低工资更好.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1852,78fcbf4dee1155ca91b810afcf08d02634ab43c1be0047e7034e581c632a47c8
buffett,buffett-volume,2008,article-candidate,巴菲特：买入美国正当时 2008,content/articles/buffett/巴菲特：买入美国正当时_2008.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1733,bc315aca0c713c454684747aa2f745a2f8bdb334fcbaecb9d5f5a75a6d268891
buffett,buffett-volume,2017,article-candidate,巴菲特：美国的未来 2017,content/articles/buffett/巴菲特：美国的未来_2017.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1838,ed7cfa5ae2e336392bf12c97ff41c49c9ccbc03cd244932056d6d128ccea5c17
buffett,buffett-volume,2009,article-candidate,巴菲特：美元效应 2009,content/articles/buffett/巴菲特：美元效应_2009.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1915,1d15b56821c7e6de0bf860d7077eb598a1173f8b371389ce08804632a4af0d22
buffett,buffett-volume,2004,article-candidate,巴菲特：模糊数学与股票期权 2004,content/articles/buffett/巴菲特：模糊数学与股票期权_2004.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1750,c028cfbf0ced7b016671610a606cd4a1648566d33cccbcba7c796539807a7fe5
buffett,buffett-volume,2002,article-candidate,巴菲特：谁是真正的账房先生,content/articles/buffett/巴菲特：谁是真正的账房先生.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1677,48d38d7513fda6286168535432db68286a21878ff67f5af726cb251faa6ae253
buffett,buffett-volume,2009,article-candidate,巴菲特：收购 BNSF 铁路,content/articles/buffett/巴菲特：收购_BNSF_铁路.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,17427,b7476fbe5fca825ef816ed6fd0888bca262b0852d4fd4d5a35dd254548706b25
buffett,buffett-volume,2003,article-candidate,巴菲特：我为什么不看好美元 2003,content/articles/buffett/巴菲特：我为什么不看好美元_2003.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,8170,b1ee8cc13991b73d3c052dc9d0014484e03c5751e92e1f1d5ca8873ef0970ff7
buffett,buffett-volume,1956,article-candidate,巴菲特合伙契约 1956,content/articles/buffett/巴菲特合伙契约_1956.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1585,80c8038fcd6218a3e6cab88b9856c222433235af7558c917ba1ef56417603672
buffett,buffett-volume,2007,article-candidate,巴菲特接见 Dardashti 2007,content/articles/buffett/巴菲特接见_Dardashti_2007.md,zh,selection-or-excerpt,uncertain-article,requires-source-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,selection-not-full-document|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2737,592a27ee5816a28471e179595b061ac915c19a7b553c70819effc0bca716d94a
buffett,buffett-volume,1998,article-candidate,巴菲特收购 LTMC 要约 1998,content/articles/buffett/巴菲特收购_LTMC_要约_1998.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1335,318a07c1de8490aaabdbabd016bf87086a6b106c2d5e70abedd7efdc02079510
buffett,buffett-volume,1976,article-candidate,巴菲特谈 GEICO1976,content/articles/buffett/巴菲特谈_GEICO1976.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,2671,0eb8e9d02a58bef3a1a3c6939dc29bdfa058d399e6ca467be797472258c6d897
buffett,buffett-volume,1974,article-candidate,巴菲特谈股市 1974,content/articles/buffett/巴菲特谈股市_1974.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,3020,b7c20e71a2172436b8a448b397a88bdc6bd2c6b350ff9a35a6cfa94a42278ec0
buffett,buffett-volume,1979,article-candidate,巴菲特谈股市 1979,content/articles/buffett/巴菲特谈股市_1979.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,3315,9f6d08b19abd4378ca998ec16b3bf963331f373fdc89b340332dc8cf9c35e521
buffett,buffett-volume,1999,article-candidate,巴菲特谈股市 1999,content/articles/buffett/巴菲特谈股市_1999.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,5000,dcd74d71cd2da51fd1ceb1f827d04612150aaf116d38bbf12a0cf0018bc5192a
buffett,buffett-volume,2001,article-candidate,巴菲特谈股市 2001,content/articles/buffett/巴菲特谈股市_2001.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,10852,7292ec532a185dabd707277c1665c354c8bf54635048432f077f9f9daabec2d8
buffett,buffett-volume,1994,article-candidate,巴菲特谈施洛斯的信 1994,content/articles/buffett/巴菲特谈施洛斯的信_1994.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,1225,286a8014325a893d16e2759d8739f1c565eb733871b410469bf5688bfc554178
buffett,buffett-volume,1977,article-candidate,巴菲特谈通货膨胀 1977,content/articles/buffett/巴菲特谈通货膨胀_1977.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,16266,269ee6f3e45038e5f51cd5853ce56ea2c8011a64a9b7e5ece103a5076874f19c
buffett,buffett-volume,1985,article-candidate,巴菲特谈投资 1985,content/articles/buffett/巴菲特谈投资_1985.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,3122,f79bb438b6bbe69f3cec68e9c6a72db505445cfd2ea440a4f1875015a101717d
buffett,buffett-volume,1988,article-candidate,巴菲特谈投资 1988,content/articles/buffett/巴菲特谈投资_1988.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,5131,2f68b2f2030d14794086ecf9e2ab4ef65ec1bca1ae260dffcb9ac271f6028fd4
buffett,buffett-volume,1997,article-candidate,巴菲特谈微软的信 1997,content/articles/buffett/巴菲特谈微软的信_1997.md,zh,unknown,primary-authored-candidate,candidate-primary-review,hold-until-manual-verification,no-local-original-language-base,,本地未找到可直接对应的原文或官方底本。,,,0,completeness-unproven|source-url-missing|local-original-language-base-missing|manual-authorship-or-source-review-required,8046,9be48ea0bc8ee74c6926e5ff476ef91897dddb5ee3fe79039d74dcccaf9c5c4d
