order,status,theme_id,theme,year,title,file,primary,hash,mapping_basis
"298","primary","08","品格与人生","","芒格（Charlie Munger）","content/people/查理·芒格.md","content/people/查理·芒格.md","983fdb0c07ae5df02b5866aa08d8e8d91ae4a0071cf9afae402ca5a76eef9a61","coverage"
"65","primary","02","数量与概率","","生平","content/munger-archive/life.md","content/munger-archive/life.md","7d4090b648db076e2a49bb1b02f760172a6b6756ab996bfdc55832e8edf3e6eb","coverage"
"297","primary","08","品格与人生","","家庭","content/munger-archive/family.md","content/munger-archive/family.md","3a8d0c9629abdd786f9c63224b3fa576bba55d6b0dab7085557cff6aad4dde73","coverage"
"238","primary","05","商业判断","","查理芒格：伯克希尔的总设计师","content/articles/munger/查理芒格：伯克希尔的总设计师.md","content/articles/munger/查理芒格：伯克希尔的总设计师.md","74eedabefdbdd96516821ff1108c413ae2cc91cd7a3ae403cfbd3058d61b6631","coverage"
"248","primary","05","商业判断","","公司","content/munger-archive/companies.md","content/munger-archive/companies.md","b297bf1068720c4ad4a2a7d2c680b3ed23ba4e8ec11e0e36aefdad229e7fe07e","coverage"
"36","primary","01","格栅是什么","","投资哲学","content/munger-archive/investing-philosophy.md","content/munger-archive/investing-philosophy.md","acb8725feb1a95b45f34640d2089e9bfc18efeac6d994cc9e2e209f657f147a3","coverage"
"188","primary","04","人类为什么误判","","建筑","content/munger-archive/architecture.md","content/munger-archive/architecture.md","b3e3c9d23d9309933438d816bfc8d883f5cbb86ca0efc326635556fa6e2218ee","coverage"
"289","primary","06","投资判断","","慈善","content/munger-archive/philanthropy.md","content/munger-archive/philanthropy.md","27093220e15079d2269c5e90d62d73ce77e188dda2ac5075ae180e65d7e88faf","coverage"
"33","primary","01","格栅是什么","","书籍","content/munger-archive/books.md","content/munger-archive/books.md","2bdb18b85e95e8aebb3de04995df7bbd567982135bb09ab55728a8c04c25b456","coverage"
"231","primary","05","商业判断","","《穷查理宝典》——序言","poor-charlies-almanack/poor-charlies-almanack-forewords.md","poor-charlies-almanack/poor-charlies-almanack-forewords.md","fc68b4cc0991c923d672af6f0fd099656c6bbc411817d135654c15d6556115cb","coverage"
"237","primary","05","商业判断","","查理·芒格肖像","poor-charlies-almanack/poor-charlies-almanack-chapter-one.md","poor-charlies-almanack/poor-charlies-almanack-chapter-one.md","1f37d2ae9f172896bd4b4b61f365a01cb2ea76bc9b3190368029349e7fbe7ec1","coverage"
"152","primary","04","人类为什么误判","","《穷查理宝典》——第二章","poor-charlies-almanack/poor-charlies-almanack-chapter-two.md","poor-charlies-almanack/poor-charlies-almanack-chapter-two.md","3c8fbb8fc10329fdd7dd2ed43fd68f9174165f07adf94251060859e1dfde077c","coverage"
"2","primary","01","格栅是什么","","《穷查理宝典》——第三章","poor-charlies-almanack/poor-charlies-almanack-chapter-three.md","poor-charlies-almanack/poor-charlies-almanack-chapter-three.md","538736500db56742cb6e38aea5c5e315488b41ced12b52283556bd83808389c0","coverage"
"102","primary","03","逆向与反证","","芒格：哈佛中学演讲 1986","poor-charlies-almanack/poor-charlies-almanack-talk-one.md","poor-charlies-almanack/poor-charlies-almanack-talk-one.md","3faa63b36064809557e3d0719569e19d6cc2ac92f4c88c73b4bfec3026863949","coverage"
"266","primary","05","商业判断","","芒格：南加大商学院演讲 1994","poor-charlies-almanack/poor-charlies-almanack-talk-two.md","poor-charlies-almanack/poor-charlies-almanack-talk-two.md","151b21ce289e0bb7aba529ee02a7505b3e66eeb5fe29836da6fb562602ee7d9a","coverage"
"23","primary","01","格栅是什么","","芒格：斯坦福法学院演讲 1996","poor-charlies-almanack/poor-charlies-almanack-talk-three.md","poor-charlies-almanack/poor-charlies-almanack-talk-three.md","1be25d6887b21b3a910e75c489934d758e26b88537027c06253a0f6ec47b275b","coverage"
"20","primary","01","格栅是什么","","芒格：关于实践思维的现实思考 1996","poor-charlies-almanack/poor-charlies-almanack-talk-four.md","poor-charlies-almanack/poor-charlies-almanack-talk-four.md","0360756e36dea13f5d8c3f4d85f3a7460a7d9ace69bb60cc182fce050452f1a8","coverage"
"21","primary","01","格栅是什么","","芒格：哈佛法学院演讲 1998","poor-charlies-almanack/poor-charlies-almanack-talk-five.md","poor-charlies-almanack/poor-charlies-almanack-talk-five.md","0c2eafe536d552920ec297aed1e0d2693f00e0a28b0aadc5a45cdfab47950bf5","coverage"
"264","primary","05","商业判断","","芒格：财务总监联合会演讲 1998","poor-charlies-almanack/poor-charlies-almanack-talk-six.md","poor-charlies-almanack/poor-charlies-almanack-talk-six.md","7eb3fb90c768a0b24357e3f7180981888000caa52a0b208aae196d02bef30523","coverage"
"265","primary","05","商业判断","","芒格：慈善圆桌会议讲话 2000","poor-charlies-almanack/poor-charlies-almanack-talk-seven.md","poor-charlies-almanack/poor-charlies-almanack-talk-seven.md","2ed9ea1ccedee829dba8aef9be54d8a1d5bea4d915381b2fe29880bc413db482","coverage"
"263","primary","05","商业判断","","芒格：2003 年的金融大丑闻","poor-charlies-almanack/poor-charlies-almanack-talk-eight.md","poor-charlies-almanack/poor-charlies-almanack-talk-eight.md","c45f2cd44a216028eb1819c229cf7b5dd29f4ab1d2cb5626673cb9b370987ae4","coverage"
"22","primary","01","格栅是什么","","芒格：论学院派经济学 2003","poor-charlies-almanack/poor-charlies-almanack-talk-nine.md","poor-charlies-almanack/poor-charlies-almanack-talk-nine.md","1eb21b47b51a770369a378bc4f6db0b0f06016c2a212ba48d034e807831b5004","coverage"
"103","primary","03","逆向与反证","","芒格：南加大法学院演讲 2007","poor-charlies-almanack/poor-charlies-almanack-talk-ten.md","poor-charlies-almanack/poor-charlies-almanack-talk-ten.md","1df8aebfdd5cd5f4020d3b1ff8e777716bbe7123d224a480e3c28b2ecd4c4f7c","coverage"
"166","primary","04","人类为什么误判","","第十一讲：人类误判心理学","poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md","poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md","92de126e3330ba5ff604560f7ffc8910509dc9c8c14472959de824c15e344eb3","coverage"
"230","primary","05","商业判断","","《穷查理宝典》——推荐阅读","poor-charlies-almanack/poor-charlies-almanack-recommended-reading.md","poor-charlies-almanack/poor-charlies-almanack-recommended-reading.md","94ec076dd6b724ef2d4d09d4d7448be47b75805e5027a803f64a86437c368aeb","coverage"
"304","primary","09","综合现场与原始场合索引","1996","Wesco_股东大会_1996","content/qa/Wesco_股东大会_1996.md","content/qa/Wesco_股东大会_1996.md","255ae5edee294004f0798d84d22c20cea4b8015c816e1a1d16d26391d4d822c1","document-integrity"
"305","primary","09","综合现场与原始场合索引","1999","Wesco 股东大会 1999","content/qa/Wesco_股东大会_1999.md","content/qa/Wesco_股东大会_1999.md","6a9feba8d6f663d507b74f2889cc01633bf6af823127d07cb664fb4baa0d3e6e","document-integrity"
"306","primary","09","综合现场与原始场合索引","2000","Wesco 股东大会 2000","content/qa/Wesco_股东大会_2000.md","content/qa/Wesco_股东大会_2000.md","ae604c96a1b1fd10b3bf8f70b50e0fb5851af9df60beb808862394ce3d13d52e","document-integrity"
"307","primary","09","综合现场与原始场合索引","2001","Wesco_股东大会_2001","content/qa/Wesco_股东大会_2001.md","content/qa/Wesco_股东大会_2001.md","4ae7de9428011a8a3b67ef34f79584cad6f166b3847a6849d6b99d9485ac7e38","document-integrity"
"308","primary","09","综合现场与原始场合索引","2002","Wesco_股东大会_2002","content/qa/Wesco_股东大会_2002.md","content/qa/Wesco_股东大会_2002.md","456c89b5f78bfab90720b075dca5c7c4cf164836773c56cec97c3d317d26d8c6","document-integrity"
"309","primary","09","综合现场与原始场合索引","2003","Wesco 股东大会 2003","content/qa/Wesco_股东大会_2003.md","content/qa/Wesco_股东大会_2003.md","87ae42e7e9c1d46cefd7bbd0efc57ef1d4f0473e3d089ac9819ea42c9df3ad1d","document-integrity"
"310","primary","09","综合现场与原始场合索引","2004","Wesco_股东大会_2004","content/qa/Wesco_股东大会_2004.md","content/qa/Wesco_股东大会_2004.md","cca5d2d85d34554f05268694fc9b04b3864f0af7b16fa4641ef1853a89f4f019","document-integrity"
"311","primary","09","综合现场与原始场合索引","2005","Wesco_股东大会_2005","content/qa/Wesco_股东大会_2005.md","content/qa/Wesco_股东大会_2005.md","649b3f888cac79ae497ac0ab42186b9aead70c08fadedce07ae038b95debde08","document-integrity"
"312","primary","09","综合现场与原始场合索引","2006","Wesco_股东大会_2006","content/qa/Wesco_股东大会_2006.md","content/qa/Wesco_股东大会_2006.md","dbeeeff3a7faa491c9e9be5b0a7165ae224f0291ce402b63328af94d46a640d1","document-integrity"
"313","primary","09","综合现场与原始场合索引","2007","Wesco 股东大会 2007","content/qa/Wesco_股东大会_2007.md","content/qa/Wesco_股东大会_2007.md","a9ab77acda29890cf5c3bad4cb550eadef547fc7dc0ad4b9f09a62ea9821194e","document-integrity"
"314","primary","09","综合现场与原始场合索引","2008","Wesco_股东大会_2008","content/qa/Wesco_股东大会_2008.md","content/qa/Wesco_股东大会_2008.md","0577f7c1881df23ce14c93808f8bffba10c5c84a9887508d09948dfa6dabb460","document-integrity"
"315","primary","09","综合现场与原始场合索引","2009","Wesco_股东大会_2009","content/qa/Wesco_股东大会_2009.md","content/qa/Wesco_股东大会_2009.md","4024dbc2984d612706cbd2dfd7dce7d9472fc6a813316dd5129386ec29655379","document-integrity"
"316","primary","09","综合现场与原始场合索引","2010","Wesco 股东大会 2010","content/qa/Wesco_股东大会_2010.md","content/qa/Wesco_股东大会_2010.md","ce1dd17abe834e0583833fd1fa8d46623c832cf206bec20cfbbeab6331d305ad","document-integrity"
"317","primary","09","综合现场与原始场合索引","2011","Wesco_股东大会_2011","content/qa/Wesco_股东大会_2011.md","content/qa/Wesco_股东大会_2011.md","ae7fea9ae192d71a7ab3034e5fe409262d3d233ded6a5a328a6abc2737ccea92","document-integrity"
"328","primary","09","综合现场与原始场合索引","","每日期刊","content/munger-archive/daily-journal.md","content/munger-archive/daily-journal.md","e90bdb20bd14abde09569b4f96d1368268384fbd7ed307c56c9ceaa286be6aae","document-integrity"
"226","primary","05","商业判断","2013","芒格：DJ 年会 2013","content/talks/芒格：DJ_年会_2013.md","content/talks/芒格：DJ_年会_2013.md","1ccfa00db4f0dd55b7f8852229019226a33ff34ff8512cfd8a9162b47eecad60","coverage"
"318","primary","09","综合现场与原始场合索引","2015","每日期刊2015年年会","content/munger-archive/recordings/daily-journal-2015.md","content/munger-archive/recordings/daily-journal-2015.md","dab164c9e59c110d2c60914cae5fa3f6e29dc1489da4175f6f98f3136703bd7c","document-integrity"
"319","primary","09","综合现场与原始场合索引","2016","每日期刊2016年年会","content/munger-archive/recordings/daily-journal-2016.md","content/munger-archive/recordings/daily-journal-2016.md","fe3b8eed290fe16682fa0f4e170de883776ac59ec42f0f2ab12930d8492d1ecf","document-integrity"
"321","primary","09","综合现场与原始场合索引","2017","每日期刊 2017 年股东大会","content/munger-archive/recordings/daily-journal-2017.md","content/munger-archive/recordings/daily-journal-2017.md","7b253319051b3aed8a5b78216fcc90b76a79662110ba2d6b63943e7205bae6f7","document-integrity"
"320","primary","09","综合现场与原始场合索引","2017","2017 年每日期刊大会后的炉边谈话","content/munger-archive/recordings/daily-journal-2017-fireside.md","content/munger-archive/recordings/daily-journal-2017-fireside.md","88b752a068ea7e21e059473d3eeb7c01652316fc050bcbba963884ed83067097","document-integrity"
"322","primary","09","综合现场与原始场合索引","2018","每日期刊 2018 年股东大会","content/munger-archive/recordings/daily-journal-2018.md","content/munger-archive/recordings/daily-journal-2018.md","d366804b6e3af663aa5002c9d337e66ad2a0cbd261f9dbdc9c656b40eca8ff45","document-integrity"
"323","primary","09","综合现场与原始场合索引","2019","2019年每日期刊年度股东会","content/munger-archive/recordings/daily-journal-2019.md","content/munger-archive/recordings/daily-journal-2019.md","03d4fe72b5642a9a3c86b213bd7b7664205f2b615575156c9005d7a39b6d215c","document-integrity"
"324","primary","09","综合现场与原始场合索引","2020","2020年每日期刊年度股东会","content/munger-archive/recordings/daily-journal-2020.md","content/munger-archive/recordings/daily-journal-2020.md","2926e4525e38c5688245dcc096f05a6cde54a92d5814da3d09b3dde347d0427f","document-integrity"
"325","primary","09","综合现场与原始场合索引","2021","2021年每日期刊年度股东会","content/munger-archive/recordings/daily-journal-2021.md","content/munger-archive/recordings/daily-journal-2021.md","ccea1b98ea1fa11e168755d3764df7c4e71cbec2f1c6c96b4cbb124f31dc4f02","document-integrity"
"326","primary","09","综合现场与原始场合索引","2022","每日期刊2022年年会","content/munger-archive/recordings/daily-journal-2022.md","content/munger-archive/recordings/daily-journal-2022.md","549f5614eb55c43c7f43b2d2a796ead13a9893d48e8db3dba545efa21da2886f","document-integrity"
"327","primary","09","综合现场与原始场合索引","2023","每日期刊2023年年会","content/munger-archive/recordings/daily-journal-2023.md","content/munger-archive/recordings/daily-journal-2023.md","9cf46dc5de82964e2558587d7155189c32a82eef757749ec0623010115932da8","document-integrity"
"287","primary","06","投资判断","2008","加州理工学院杜布里奇杰出讲座（2008）","content/munger-archive/recordings/caltech-2008.md","content/munger-archive/recordings/caltech-2008.md","c448298b932f77ef6c9a78b27835ac3c3ce59ebfa7b41a78b91e9c7f6ccf6836","coverage"
