章节,文件路径,原分级,内容身份,审阅决定
buffett-ch-04,content/articles/buffett/巴菲特：500_亿美元的决定.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_1976.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特：怀念恩师格雷厄姆_2008.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特合伙公司时代.md,D,专题文章中文翻译/编辑整理,由主版本承接或保留于完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特合伙契约_1956.md,D,专题文章中文翻译/编辑整理,由主版本承接或保留于完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特青春时代.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特谈股市_1974.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/buffett/巴菲特谈施洛斯的信_1994.md,B,专题文章中文翻译/编辑整理,进入正文｜buffett-ch-04
buffett-ch-04,content/articles/buffett/巴菲特谈投资_1988.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-04,content/articles/buffett/企业收藏家_1977.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/other/恩师格雷厄姆生平回顾.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/other/格雷厄姆谈股市_1976.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/other/如何建立能力圈.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/articles/other/施洛斯：怀念恩师格雷厄姆_1976.md,B,第三方文章/编辑资料,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/interviews/巴菲特：对话范德比尔特大学学生_2005.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/interviews/巴菲特：对话堪萨斯大学学生_2005.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/interviews/巴菲特：对话商学院学生_2008.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/interviews/巴菲特：对话田纳西大学学生_2003.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/partnership/partnership_1967-10月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-04,content/people/菲尔·费雪.md,B,人物背景资料/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/people/凯瑟琳·格雷厄姆.md,B,人物背景资料/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-04,content/qa/历年股东问答精选_2025.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-04,content/talks/巴菲特：哥大商学院演讲_1984.md,A,演讲中文翻译/转录,进入正文｜buffett-ch-04
