复评编号,文件路径,标题,内容身份,核心内容,独特观点,独特案例或反例,思想演变或适用边界价值,原D级理由,原D级理由是否成立,复评分级,对应主书章节,具体位置,是否进入侧栏,是否进入附录,是否进入索引,是否进入完整典藏层,仍保持D级的明确理由,复评备注
DR-001,content/articles/buffett/巴菲特推荐过的书籍.md,巴菲特推荐过的书籍,专题文章中文翻译/编辑整理,巴菲特推荐过的书籍 巴菲特：在我丰富的藏书中，有四本我特别珍视。它们都写于 50 年前，假使我第一次读到，仍会受益匪浅…..其中的两本分别是亚当斯密《国富论》第一版和本格雷厄姆的《聪明投资者》第一版，第三本就是我手上这本《证券分析》，这是我在哥伦比亚大学求学时用的 1940 版，我至少反复研读了四遍…而第四本更为珍贵，2000 年大卫多德的独生女送给我一本 1934 版证券分析，书中有几百条批注，这是大卫为 1940 年证券分析准备的修订意见。对我而言，没有任何礼物比这本更有意义。(2009)《The Intell,该稿保留“巴菲特推荐过的书籍”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,没有独立案例；价值主要来自目录、人物或资料组织。,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,汇编稿与原始信件或书目资料重合，作者身份也弱于原件。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,buffett-app-reading,附录“巴菲特的阅读与书目线索”,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-002,content/models/action-reaction.md,作用力与反作用力,通用模型与编辑扩展,牛顿第三定律在社会系统中的体现——每个政策干预都会引发等大反向的反作用力，美国禁酒令催生有组织犯罪是忽视二阶效应的经典教训。,相对芒格原始演讲，该稿新增了“作用力与反作用力”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,牛顿的第三定律：宇宙最不通融的会计师；激进监管与规避的永恒博弈；商业世界的作用力与反作用力,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-08,模型身份附录“物理学与化学”分组及概念索引“作用力与反作用力”；关联munger-ch-08,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-003,content/models/adaptation-path-dependence.md,适应性与路径依赖,通用模型与编辑扩展,MS-DOS击败技术更优的CP/M源于一系列偶然事件被递增回报放大为四十年垄断——在复杂适应系统中，历史不是背景而是原因。,相对芒格原始演讲，该稿新增了“适应性与路径依赖”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,历史不会重演，但会押韵——因为系统有记忆；复杂适应系统：为什么历史会“凝固”；QWERTY、VHS与城市：路径依赖的经典案例,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“复杂系统与决策科学”分组及概念索引“适应性与路径依赖”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-004,content/models/adaptation.md,适应性,通用模型与编辑扩展,适应性是生物在环境变化中生存的核心能力，诺基亚与苹果的对比揭示了企业适应性的关键——不是预测变化，而是拥有重新定义自我的能力。,相对芒格原始演讲，该稿新增了“适应性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,两个巨人，两种结局；适应性的生物学机制；亚马逊：适应性的活教科书,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“生物学与进化论”分组及概念索引“适应性”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-005,content/models/adaptive-radiation.md,适应性辐射,通用模型与编辑扩展,适应性辐射是单一祖先物种在新环境中快速分化为多种形态以占据不同生态位的进化过程，商业世界中同样的模式可在几年内上演。,相对芒格原始演讲，该稿新增了“适应性辐射”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一只雀的十三种面孔；亚马逊：从一条河到一片雨林；大灭绝之后的创业黄金期,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“生物学与进化论”分组及概念索引“适应性辐射”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-006,content/models/adversarial-system.md,对抗制与辩证过程,通用模型与编辑扩展,对抗制让双方各自尽力论证己方立场，通过激烈的思想碰撞逼近真相。芒格将这一法律方法转化为投资决策中的双轨分析，主动寻找反面证据。,相对芒格原始演讲，该稿新增了“对抗制与辩证过程”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,一场你不想打赢的辩论；法庭：对抗制的原始场景；红队思维：对抗制在企业中的移植,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“对抗制与辩证过程”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-007,content/models/antifragile-design.md,反脆弱设计,通用模型与编辑扩展,2008年金融危机中伯克希尔不仅没受伤反而在挑选猎物——反脆弱不是坚韧地承受冲击保持不变，而是一种从冲击中获益变得更强的结构性设计。,相对芒格原始演讲，该稿新增了“反脆弱设计”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,保险浮存金：芒格最精妙的反脆弱设计；2020年日本商社：在危机中播种；如何在生活和投资中构建反脆弱性,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-11,完整典藏层“通用模型候选/工程学/反脆弱设计”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-008,content/models/autocatalysis.md,自我催化模型,通用模型与编辑扩展,自我催化模型描述了产物本身加速反应进程的化学机制，芒格最爱的Costco正是商业自催化的典范——低价吸引会员、规模压低成本、更低价格吸引更多会员。,相对芒格原始演讲，该稿新增了“自我催化模型”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,化学课上的那个奇妙反应；Costco的飞轮：一部自催化机器；迪士尼的IP宇宙：另一种自催化,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-12,章节侧栏/补充解释“自我催化模型”（munger-ch-12）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-009,content/models/automation-checklists.md,自动化与检查清单,通用模型与编辑扩展,一张能夹在手掌中的检查清单挽救了波音B-17轰炸机项目——当任务复杂性超过人类认知可靠处理能力时，用系统化流程替代对记忆的依赖。,相对芒格原始演讲，该稿新增了“自动化与检查清单”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,阿图·葛文德：一张清单拯救数千条生命；芒格的清单方法论：对抗心理偏误的工程工具；最简单的工具，最深刻的智慧,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“自动化与检查清单”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-010,content/models/basics-of-contract-law.md,合同法基本原则,通用模型与编辑扩展,合同法将非正式的承诺转化为可执行的法律义务，其核心原则——合意、对价、善意履行——构成一切商业交易的底层基础设施。,相对芒格原始演讲，该稿新增了“合同法基本原则”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一个没有律师在场的交易；四根柱子：要约、承诺、对价、合意；口头承诺、SaaS陷阱与握手交易,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“法学与政治学”分组及概念索引“合同法基本原则”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
