type,group,file
exact,E1,content/articles/munger/芒格：2003_年的金融大丑闻.md
exact,E1,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md
exact,E2,content/talks/芒格：财务总监联合会演讲_1998.md
exact,E2,poor-charlies-almanack/poor-charlies-almanack-talk-six.md
exact,E3,content/talks/芒格：慈善圆桌会议讲话_2000.md
exact,E3,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md
exact,E4,content/talks/芒格：关于实践思维的现实思考_1996.md
exact,E4,poor-charlies-almanack/poor-charlies-almanack-talk-four.md
exact,E5,content/talks/芒格：哈佛法学院演讲_1998.md
exact,E5,poor-charlies-almanack/poor-charlies-almanack-talk-five.md
exact,E6,content/talks/芒格：哈佛中学演讲_1986.md
exact,E6,poor-charlies-almanack/poor-charlies-almanack-talk-one.md
exact,E7,content/talks/芒格：论学院派经济学_2003.md
exact,E7,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md
exact,E8,content/talks/芒格：南加大法学院演讲_2007.md
exact,E8,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md
exact,E9,content/talks/芒格：南加大商学院演讲_1994.md
exact,E9,poor-charlies-almanack/poor-charlies-almanack-talk-two.md
exact,E10,content/talks/芒格：斯坦福法学院演讲_1996.md
exact,E10,poor-charlies-almanack/poor-charlies-almanack-talk-three.md
canonical,C1,content/articles/munger/芒格：2003_年的金融大丑闻.md
canonical,C1,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md
canonical,C2,content/talks/芒格：财务总监联合会演讲_1998.md
canonical,C2,poor-charlies-almanack/poor-charlies-almanack-talk-six.md
canonical,C3,content/talks/芒格：慈善圆桌会议讲话_2000.md
canonical,C3,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md
canonical,C4,content/talks/芒格：关于实践思维的现实思考_1996.md
canonical,C4,poor-charlies-almanack/poor-charlies-almanack-talk-four.md
canonical,C5,content/talks/芒格：哈佛法学院演讲_1998.md
canonical,C5,poor-charlies-almanack/poor-charlies-almanack-talk-five.md
canonical,C6,content/talks/芒格：哈佛中学演讲_1986.md
canonical,C6,poor-charlies-almanack/poor-charlies-almanack-talk-one.md
canonical,C7,content/talks/芒格：论学院派经济学_2003.md
canonical,C7,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md
canonical,C8,content/talks/芒格：南加大法学院演讲_2007.md
canonical,C8,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md
canonical,C9,content/talks/芒格：南加大商学院演讲_1994.md
canonical,C9,poor-charlies-almanack/poor-charlies-almanack-talk-two.md
canonical,C10,content/talks/芒格：斯坦福法学院演讲_1996.md
canonical,C10,poor-charlies-almanack/poor-charlies-almanack-talk-three.md
title,T1,content/articles/munger/芒格：2003_年的金融大丑闻.md
title,T1,poor-charlies-almanack/poor-charlies-almanack-talk-eight.md
title,T2,content/models/circle-of-competence.md
title,T2,content/munger-archive/mental-models/circle-of-competence.md
title,T3,content/models/inversion.md
title,T3,content/munger-archive/mental-models/inversion.md
title,T4,content/models/margin-of-safety.md
title,T4,content/munger-archive/mental-models/margin-of-safety.md
title,T5,content/models/opportunity-cost.md
title,T5,content/munger-archive/mental-models/opportunity-cost.md
title,T6,content/models/psychology-of-human-misjudgment.md
title,T6,content/poor-charlies-almanack/11-psychology.md
title,T7,content/models/two-track-analysis.md
title,T7,content/munger-archive/mental-models/two-track-analysis.md
title,T8,content/poor-charlies-almanack/01-portrait.md
title,T8,poor-charlies-almanack/poor-charlies-almanack-chapter-one.md
title,T9,content/talks/芒格：财务总监联合会演讲_1998.md
title,T9,poor-charlies-almanack/poor-charlies-almanack-talk-six.md
title,T10,content/talks/芒格：慈善圆桌会议讲话_2000.md
title,T10,poor-charlies-almanack/poor-charlies-almanack-talk-seven.md
title,T11,content/talks/芒格：关于实践思维的现实思考_1996.md
title,T11,poor-charlies-almanack/poor-charlies-almanack-talk-four.md
title,T12,content/talks/芒格：哈佛法学院演讲_1998.md
title,T12,poor-charlies-almanack/poor-charlies-almanack-talk-five.md
title,T13,content/talks/芒格：哈佛中学演讲_1986.md
title,T13,poor-charlies-almanack/poor-charlies-almanack-talk-one.md
title,T14,content/talks/芒格：论学院派经济学_2003.md
title,T14,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md
title,T15,content/talks/芒格：南加大法学院演讲_2007.md
title,T15,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md
title,T16,content/talks/芒格：南加大商学院演讲_1994.md
title,T16,poor-charlies-almanack/poor-charlies-almanack-talk-two.md
title,T17,content/talks/芒格：斯坦福法学院演讲_1996.md
title,T17,poor-charlies-almanack/poor-charlies-almanack-talk-three.md
