节点编号,人物,核心命题,原始表达,来源文件,时间与场合,内容身份,主题标签,代表案例,相关观点,适用边界,建议章节,可信度,编辑备注
MA-001,芒格,知识必须形成多学科模型格栅，孤立事实难以产生判断。,第一条规则是，你必须拥有多元思维模型。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,芒格演讲的中文翻译,多元思维模型|知识格栅,数学、会计、心理学、工程与微观经济学的连接,MA-002|MA-003,模型数量不等于质量；必须掌握少数真正重要的原理。,第一篇 把知识连成格栅,高,全书总纲。
MA-002,芒格,单一模型会把现实扭曲成工具熟悉的形状。,在手里拿着铁锤的人看来，所有问题都像钉子。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,芒格演讲的中文翻译,铁锤人倾向|多元模型,脊椎按摩师式单一解释,MA-001|MA-010,多模型也可能形成新的教条，关键是证据和适配。,第一篇 为什么一把锤子不够,高,保留比喻，不把所有专业化贬为狭隘。
MA-003,芒格,基础概率和数量思维应成为自动化的判断习惯。,如果你没有把这个基本的但有些不那么自然的基础数学概率方法变成你生活的一部分，那么在漫长的人生中，你们将会像一个踢屁股比赛中的独腿人。这等于将巨大的优势拱手送给了他人。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,芒格演讲的中文翻译,概率|数量思维|决策树,巴菲特自动使用决策树与排列组合,MA-001|MA-007|MA-008,现实概率往往只能估计，不能用公式遮蔽未知。,第二篇 用概率而非故事下注,高,数量思维章节主轴。
MA-004,芒格,复杂问题常可通过研究如何失败来逆向求解。,许多难题只有在逆向思考的时候才能得到最好的解决。,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,1986年，哈佛中学毕业演讲,芒格演讲的中文翻译,逆向思考|避免失败,雅各比与爱因斯坦,MA-005|MA-006,逆向是补充而非替代正向因果分析。,第二篇 先问怎样会失败,高,保留演讲的反讽结构。
MA-005,芒格,避免常见愚蠢比持续追求卓越聪明更可靠。,我这辈子的策略，从来都是避开一切惯常的失败方式。,content/munger-archive/recordings/cnbc-final-interview-2023.md,2023年，CNBC最后一次访谈,芒格访谈中文转录,避免愚蠢|失败清单|晚年总结,牌桌错误打法的比喻,MA-004|MA-022,避错不能替代必要的进取和机会识别。,第二篇 避免愚蠢的纪律,高,作为1986逆向思维的晚年成熟表达。
MA-006,芒格,应主动寻找能够推翻自己珍视理论的反面证据。,他总是致力于寻求证据来否定他已有的理论，无论他对这种理论有多么珍惜。,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,1986年，哈佛中学毕业演讲,芒格演讲的中文翻译,反证|客观|达尔文,达尔文优先处理反面证据,MA-004|MA-010,反证要求可检验命题；对价值判断不能机械套用。,第二篇 反对自己的最好论据,高,不要误写为达尔文原话。
MA-007,芒格,每项选择都应与当下最佳替代方案比较。,"每一个""是"",都是对别的什么东西说""不""。",content/munger-archive/mental-models/opportunity-cost.md,芒格思想档案，时间综合,芒格思想档案摘要,机会成本|选择|资源约束,资本、时间和注意力配置,MA-003|MA-008|MA-019,最佳替代方案本身可能不确定，也会随时间变化。,第二篇 决策的隐藏价格,中高,该句为档案整理表达；需与原始问答交叉引用。
MA-008,芒格,能力圈的价值不在于大，而在于知道边界。,能力圈无需很大也能极有价值——关键是要精确地知道它的边缘在哪里。,content/munger-archive/mental-models/circle-of-competence.md,芒格思想档案，时间综合,芒格思想档案摘要,能力圈|元认知|边界,巴菲特与芒格放弃难题,MA-007|MA-009,能力圈必须通过学习更新，不能成为拒绝新知识的借口。,第二篇 知道自己不知道什么,中高,用原始问答补强证据。
MA-009,芒格,承认困惑是理解复杂问题的起点，不应勉强制造确定答案。,我们当下面临的问题相当令人困惑。事实上，如果你不感到困惑，我认为你并没有真正理解它。,content/munger-archive/quotes/quotes-humility.md,语录汇编，场合待逐条映射,语录索引与二次编排,太难问题|能力圈|谦逊,三只篮子：是、否、太难,MA-008|MA-022,暂缓判断不等于永久回避，重大责任仍需建立最低判断能力。,第二篇 太难的问题先放下,中,原话场合需在第三阶段逐条定位。
MA-010,芒格,重要判断必须同时检查理性事实和潜意识心理倾向。,聪明人评估任何重要的事情，都会同时沿着两条轨道进行。,content/munger-archive/mental-models/two-track-analysis.md,芒格思想档案，时间综合,芒格思想档案摘要,双轨分析|理性|心理偏误,事实、数字与心理倾向并行检查,MA-002|MA-011,双轨框架是编辑整理时必须明确标注的操作化表达。,第三篇 理性轨与心理轨,中高,需与人类误判心理学原文连接。
MA-011,芒格,系统性误判来自可重复的人类心理倾向，而非偶然失误。,我一直对标准思维错误非常感兴趣。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲，后经修订,芒格演讲的中文翻译,人类误判心理学|心理倾向,芒格心理倾向清单,MA-010|MA-012|MA-013,倾向清单不是临床诊断，也不能替代具体证据。,第三篇 人为什么反复判断错误,高,以1995版与修订版差异建立演变。
MA-012,芒格,激励对行为的塑造通常强于人们的直觉判断。,"人对激励的反应,远比几乎所有人预想的都要强烈,所以要预测行为,先看清究竟什么在被奖励。",content/munger-archive/mental-models/incentive-superresponse.md,芒格思想档案，案例综合,芒格思想档案摘要,激励机制|误判心理学,联邦快递夜班计酬,MA-011|MA-018,行为不能完全还原为金钱激励，身份、规范和长期关系同样重要。,第三篇 先看奖励了什么,中高,“让我看看激励”名句需单独核对最早场合。
MA-013,芒格,多种心理倾向同向叠加会产生远超单项作用的极端结果。,心理倾向往往数量众多，而且在生活中相互作用时，无论现在还是永远，都不可分割地交织在一起。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,芒格演讲的中文翻译,Lollapalooza效应|叠加效应,拍卖、邪教与市场狂热,MA-011|MA-014|MA-015,“叠加”不意味着任何因素组合都会放大，方向和反馈结构必须分析。,第三篇 当偏误彼此增强,高,中文术语统一为“多因素叠加效应（Lollapalooza）”。
MA-014,芒格,社会认同在不确定和压力条件下会把群体推向共同错误。,即使心智成熟的人，也会自动仿照他人的想法和行动，以节省判断成本。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,芒格演讲的中文翻译,社会认同|从众|心理倾向,旁观者效应与市场追涨,MA-011|MA-013,群体信息有时是真实信号，关键在独立证据与反馈。,第三篇 群体为什么一起犯错,高,与权威影响和压力效应区分。
MA-015,芒格,权威会令专业判断停摆，尤其在层级组织中。,人类像稗子里的动物和猴子一样，生活在规模有限的统治等级制度中，在这种等级制度中，他倾向于尊重权威，喜欢与自己的等级制度成员合作，同时对不在自己的等级制度中的竞争者表现出相当的不信任和厌恶。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,芒格演讲的中文翻译,权威影响|组织|心理倾向,副驾驶不纠正机长错误,MA-011|MA-013|MA-018,权威也能降低协调成本，防御重点是异议和复核机制。,第三篇 权威如何压倒事实,高,案例需从原文选择，不另造故事。
MA-016,芒格,剥夺与损失感会触发强度失衡的防御反应。,对于一笔损失，乃至一次被威胁的损失或一次擦肩而过，我们的反应远远强于对一笔等量收益的反应——这让我们对两者都变得不理性。,content/munger-archive/mental-models/deprival-superreaction.md,芒格思想档案，来源于误判心理学,芒格思想档案摘要,剥夺超级反应|损失厌恶,可口可乐涨价与领土冲突类案例,MA-011|MA-013,不能把所有反对变化都解释为心理偏误，实际权益可能确受损。,第三篇 损失为何放大反应,中高,需与修订版演讲逐句校对。
MA-017,芒格,嫉妒是强大却常被回避讨论的行为力量。,"这个世界不是被贪婪驱动的,而是被嫉妒驱动的。",content/munger-archive/quotes/quotes-envy.md,语录汇编，场合待逐条映射,语录索引与二次编排,嫉妒|比较|心理倾向,薪酬比较与相对地位,MA-011|MA-013,该表达是修辞性强调，不能作为所有行为的单因解释。,第三篇 相对比较的毒性,中,第三阶段定位最早场合后再决定是否直引。
MA-018,芒格,制度设计应让正确行为成为激励下的自然结果，而非依赖劝诫。,要预测行为，先看清究竟什么在被奖励。,content/munger-archive/mental-models/incentive-superresponse.md,芒格思想档案，案例综合,芒格思想档案摘要,激励|制度设计|代理问题,联邦快递计酬与销售激励,MA-012|MA-015|MA-023,激励设计会产生二阶效应，指标也可能被操纵。,第四篇 设计不容易作弊的系统,中高,与芒格经济学演讲、Wesco问答交叉。
MA-019,芒格,投资机会应按最佳替代方案排序，少数高确信机会值得集中。,如果你只有三个好机会，我宁可它们是我最好的点子，而不是最差的。,content/munger-archive/quotes/quotes-concentration.md,2005年，接受Steven Goldberg采访（语录页转录）,语录索引与二次编排,集中投资|机会成本|耐心,伯克希尔少数重仓投资,MA-007|MA-020|MA-021,集中需要能力圈、赔率和承受损失能力，不是模仿持仓数量。,第五篇 等待少数好球,中高,来源页已列采访信息，第三阶段仍应与完整访谈校对。
MA-020,芒格,高质量企业允许投资者少做动作，让复利持续工作。,大钱是由能熬过波动、稳坐不动的耐心持有者赚到的。,content/munger-archive/mental-models/sit-on-your-ass-investing.md,芒格思想档案，时间综合,芒格思想档案摘要,坐等投资|长期持有|护城河,喜诗、可口可乐、好市多,MA-019|MA-021,只有企业优势、治理和买入条件持续成立时，少动才是优点。,第五篇 找到之后少折腾,中高,该句是档案概括，不直接当作逐字原话。
MA-021,芒格,商业判断要把会计数字还原为经济现实和竞争优势。,会计是商业活动的语言，但任何语言都可以被用来说谎。,content/models/accounting-as-language-its-limits.md,编辑模型稿，时间综合,通用模型与编辑扩展,会计|经济现实|商业判断,商誉、现金流与维护性资本支出,MA-018|MA-020|MA-023,这是编辑扩展表达；必须以Wesco、年会或演讲原话作证。,第五篇 穿过会计看企业,中,模型层级1表示反复使用，不表示芒格原创会计理论。
MA-022,芒格,理性需要谦逊、客观和持续学习，而不是聪明人的自我确认。,我非常擅长向已故之人学习。这正是每个人都该学会的本事。,content/munger-archive/recordings/cnbc-final-interview-2023.md,2023年，CNBC最后一次访谈,芒格访谈中文转录,终身学习|阅读|谦逊,从已故思想家与企业案例学习,MA-005|MA-006|MA-024,阅读必须转化为可检验的模型和行动，不能成为知识收藏。,第六篇 向活人和死人学习,高,晚年表达可回扣1986年演讲。
MA-023,芒格,值得信任的关系能降低制度摩擦并形成长期合作优势。,做一个可靠的人，让别人愿意给你应得的信任。,content/munger-archive/recordings/usc-law-2007.md,2007年，南加州大学法学院毕业演讲档案,演讲档案摘要,应得的信任|品格|合作,芒格与巴菲特的长期合作,MA-018|MA-024,信任必须可验证，不能替代必要控制。,第六篇 应得的信任,中高,优先使用宝典第十讲完整译文校对。
MA-024,芒格,远离极端意识形态，避免让身份压倒证据。,远离极端的意识形态。,content/munger-archive/recordings/usc-law-2007.md,2007年，南加州大学法学院毕业演讲档案,演讲档案摘要,意识形态|客观|独立,法律、政治与专业群体的身份偏见,MA-006|MA-022|MA-023,价值立场不可避免；目标是让事实能够修正立场。,第六篇 不把头脑租给派别,中高,使用完整演讲版本时保留上下文。
MA-025,芒格,高管与董事应以所有者视角判断资本配置，而不是追随惯例。,芒格解释了为何 辛格尔顿的成绩——股价便宜时回购股份、昂贵时增发股份，并无视华尔街关于 CEO 该如何行事的成规—— 代表了资本配置的正确范式,content/munger-archive/recordings/singleton-prize-2022.md,2022年，与托德·库姆斯对谈档案,访谈档案摘要,资本配置|领导力|回购,亨利·辛格尔顿低价回购、高价增发,MA-018|MA-019|MA-021,档案页是编辑概括，关键论断需回到对谈原文。,第五篇 资本配置者怎样行动,中,作为芒格与巴菲特资本配置思想交叉点。
MA-026,芒格,规模既带来成本优势，也会产生官僚、专业化和行为上的反作用。,规模优势理论的本质是，你生产的商品越多，你就能更好地生产这种商品。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,芒格演讲的中文翻译,规模效应|商业判断|经济学,连锁零售、品牌与采购优势,MA-018|MA-021|MA-027,规模并非单向优势；复杂性和激励错位会形成规模不经济。,第五篇 规模的正反两面,高,使用原演讲表达，并保留规模不经济的反向边界。
MA-027,芒格,好生意往往具备可持续竞争优势，能让少数长期持有变得合理。,"远为高明的做法是""以合理的价格买入伟大的企业"",然后持有,让它不断复利增长。",content/munger-archive/investing-philosophy.md,人物档案，时间综合,人物档案/编辑整理,护城河|企业质量|长期持有,喜诗、好市多、可口可乐,MA-020|MA-026,档案概括需由Wesco和年会原话支持；不能把“好企业”脱离价格。,第五篇 企业质量与等待,中,与巴菲特护城河体系比较。
MA-028,芒格,伟大合作依靠互补能力、共同原则和低摩擦信任。,"芒格说得很明白:这段合伙关系靠的是利益一致,而非合同条款——共同的价值观、对交往对象的严苛筛选,以及一种清晰的分工:每个人都在自己的领域里信任对方的判断。",content/munger-archive/recordings/power-of-partnership-2016.md,2016年，合作主题对谈档案,访谈档案摘要,合作|巴菲特|互补,巴菲特与芒格数十年合作,MA-023|MA-025,这是档案页的编辑概括，须回到对谈原句后才能作为直接引语。,第六篇 两个人如何长期合作,中,当前只作为访谈档案摘要，不标为芒格逐字原话。
MA-029,芒格,理性是一种需要训练和承担后果的道德义务。,理性近乎一种道德义务,content/munger-archive/recordings/caltech-2020.md,2020年，加州理工学院对谈档案,访谈档案摘要,理性|责任|晚年思想,加州理工学院杰出校友对谈,MA-005|MA-022|MA-024,该句来自档案摘要而非逐字转录；理性也不保证全知或消除价值冲突。,结语 理性作为责任,中,须从官方对谈原文复核后才能作为直接引语。
MA-030,芒格,悲观的避错框架并不排斥对文明长期进步的乐观。,我热爱文明的进步。,content/munger-archive/recordings/cnbc-final-interview-2023.md,2023年，CNBC最后一次访谈,芒格访谈中文转录,文明|长期主义|晚年总结,百岁前回看技术与生活进步,MA-005|MA-022|MA-029,文明进步并不意味着单项投资或制度会自动改善。,结语 避错与进步,高,能纠正把芒格单纯写成愤世嫉俗者的误解。
