节点编号,一级主题,二级主题,核心命题,人物原始表达,来源文件,时间与背景,底层机制,代表案例,思想演变,常见误解,适用边界,相关节点,建议章节,书内锚点,编辑可信度
MS-001,多元思维模型,知识格栅,知识必须形成多学科模型格栅，孤立事实难以产生判断。,第一条规则是，你必须拥有多元思维模型。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,用少数跨学科大模型相互校验，减少单一视角失真。,数学、会计、心理学、工程与微观经济学的连接,1994年“普世智慧”系统提出格栅，1996—1998年继续扩展到教育、法律和制度。,误解为收集越多模型名词就越理性。,模型数量不等于质量；必须掌握少数真正重要的原理。,MA-002|MA-003,第一篇 把知识连成格栅,ms-001,高
MS-002,铁锤人倾向,多元模型,单一模型会把现实扭曲成工具熟悉的形状。,在手里拿着铁锤的人看来，所有问题都像钉子。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,通过事实、激励、机会成本和反馈机制把原则转化为判断。,脊椎按摩师式单一解释,1994年“普世智慧”系统提出格栅，1996—1998年继续扩展到教育、法律和制度。,误解为收集越多模型名词就越理性。,多模型也可能形成新的教条，关键是证据和适配。,MA-001|MA-010,第一篇 为什么一把锤子不够,ms-002,高
MS-003,概率,数量思维|决策树,基础概率和数量思维应成为自动化的判断习惯。,如果你没有把这个基本的但有些不那么自然的基础数学概率方法变成你生活的一部分，那么在漫长的人生中，你们将会像一个踢屁股比赛中的独腿人。这等于将巨大的优势拱手送给了他人。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,1994年，南加州大学商学院演讲,通过事实、激励、机会成本和反馈机制把原则转化为判断。,巴菲特自动使用决策树与排列组合,1994年“普世智慧”系统提出格栅，1996—1998年继续扩展到教育、法律和制度。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,现实概率往往只能估计，不能用公式遮蔽未知。,MA-001|MA-007|MA-008,第二篇 用概率而非故事下注,ms-003,高
MS-004,逆向思考,避免失败,复杂问题常可通过研究如何失败来逆向求解。,许多难题只有在逆向思考的时候才能得到最好的解决。,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,1986年，哈佛中学毕业演讲,从失败条件和反面证据识别被正向叙事遗漏的约束。,雅各比与爱因斯坦,1986年以反讽演讲示范逆向，晚年收束为避免常见失败方式的生活策略。,误解为只防守、不承担任何机会风险。,逆向是补充而非替代正向因果分析。,MA-005|MA-006,第二篇 先问怎样会失败,ms-004,高
MS-005,避免愚蠢,失败清单|晚年总结,避免常见愚蠢比持续追求卓越聪明更可靠。,我这辈子的策略，从来都是避开一切惯常的失败方式。,content/munger-archive/recordings/cnbc-final-interview-2023.md,2023年，CNBC最后一次访谈,通过事实、激励、机会成本和反馈机制把原则转化为判断。,牌桌错误打法的比喻,1986年以反讽演讲示范逆向，晚年收束为避免常见失败方式的生活策略。,误解为只防守、不承担任何机会风险。,避错不能替代必要的进取和机会识别。,MA-004|MA-022,第二篇 避免愚蠢的纪律,ms-005,高
MS-006,反证,客观|达尔文,应主动寻找能够推翻自己珍视理论的反面证据。,他总是致力于寻求证据来否定他已有的理论，无论他对这种理论有多么珍惜。,poor-charlies-almanack/poor-charlies-almanack-talk-one.md,1986年，哈佛中学毕业演讲,通过事实、激励、机会成本和反馈机制把原则转化为判断。,达尔文优先处理反面证据,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,反证要求可检验命题；对价值判断不能机械套用。,MA-004|MA-010,第二篇 反对自己的最好论据,ms-006,高
MS-007,机会成本,选择|资源约束,每项选择都应与当下最佳替代方案比较。,"每一个""是"",都是对别的什么东西说""不""。",content/munger-archive/mental-models/opportunity-cost.md,芒格思想档案，时间综合,通过事实、激励、机会成本和反馈机制把原则转化为判断。,资本、时间和注意力配置,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,最佳替代方案本身可能不确定，也会随时间变化。,MA-003|MA-008|MA-019,第二篇 决策的隐藏价格,ms-007,中高
MS-008,能力圈,元认知|边界,能力圈的价值不在于大，而在于知道边界。,能力圈无需很大也能极有价值——关键是要精确地知道它的边缘在哪里。,content/munger-archive/mental-models/circle-of-competence.md,芒格思想档案，时间综合,通过事实、激励、机会成本和反馈机制把原则转化为判断。,巴菲特与芒格放弃难题,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,能力圈必须通过学习更新，不能成为拒绝新知识的借口。,MA-007|MA-009,第二篇 知道自己不知道什么,ms-008,中高
MS-009,太难问题,能力圈|谦逊,承认困惑是理解复杂问题的起点，不应勉强制造确定答案。,我们当下面临的问题相当令人困惑。事实上，如果你不感到困惑，我认为你并没有真正理解它。,content/munger-archive/quotes/quotes-humility.md,语录汇编，场合待逐条映射,通过事实、激励、机会成本和反馈机制把原则转化为判断。,三只篮子：是、否、太难,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,暂缓判断不等于永久回避，重大责任仍需建立最低判断能力。,MA-008|MA-022,第二篇 太难的问题先放下,ms-009,中
MS-010,双轨分析,理性|心理偏误,重要判断必须同时检查理性事实和潜意识心理倾向。,聪明人评估任何重要的事情，都会同时沿着两条轨道进行。,content/munger-archive/mental-models/two-track-analysis.md,芒格思想档案，时间综合,通过事实、激励、机会成本和反馈机制把原则转化为判断。,事实、数字与心理倾向并行检查,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,双轨框架是编辑整理时必须明确标注的操作化表达。,MA-002|MA-011,第三篇 理性轨与心理轨,ms-010,中高
MS-011,人类误判心理学,心理倾向,系统性误判来自可重复的人类心理倾向，而非偶然失误。,我一直对标准思维错误非常感兴趣。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲，后经修订,可重复心理倾向在激励和群体环境下造成系统性偏差。,芒格心理倾向清单,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为用一个心理标签即可解释全部行为。,倾向清单不是临床诊断，也不能替代具体证据。,MA-010|MA-012|MA-013,第三篇 人为什么反复判断错误,ms-011,高
MS-012,激励机制,误判心理学,激励对行为的塑造通常强于人们的直觉判断。,"人对激励的反应,远比几乎所有人预想的都要强烈,所以要预测行为,先看清究竟什么在被奖励。",content/munger-archive/mental-models/incentive-superresponse.md,芒格思想档案，案例综合,制度改变行为收益结构，从而改变可观察结果。,联邦快递夜班计酬,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为用一个心理标签即可解释全部行为。,行为不能完全还原为金钱激励，身份、规范和长期关系同样重要。,MA-011|MA-018,第三篇 先看奖励了什么,ms-012,中高
MS-013,Lollapalooza效应,叠加效应,多种心理倾向同向叠加会产生远超单项作用的极端结果。,心理倾向往往数量众多，而且在生活中相互作用时，无论现在还是永远，都不可分割地交织在一起。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,通过事实、激励、机会成本和反馈机制把原则转化为判断。,拍卖、邪教与市场狂热,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,“叠加”不意味着任何因素组合都会放大，方向和反馈结构必须分析。,MA-011|MA-014|MA-015,第三篇 当偏误彼此增强,ms-013,高
MS-014,社会认同,从众|心理倾向,社会认同在不确定和压力条件下会把群体推向共同错误。,即使心智成熟的人，也会自动仿照他人的想法和行动，以节省判断成本。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,通过事实、激励、机会成本和反馈机制把原则转化为判断。,旁观者效应与市场追涨,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为用一个心理标签即可解释全部行为。,群体信息有时是真实信号，关键在独立证据与反馈。,MA-011|MA-013,第三篇 群体为什么一起犯错,ms-014,高
MS-015,权威影响,组织|心理倾向,权威会令专业判断停摆，尤其在层级组织中。,人类像稗子里的动物和猴子一样，生活在规模有限的统治等级制度中，在这种等级制度中，他倾向于尊重权威，喜欢与自己的等级制度成员合作，同时对不在自己的等级制度中的竞争者表现出相当的不信任和厌恶。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,1995年演讲及修订版,通过事实、激励、机会成本和反馈机制把原则转化为判断。,副驾驶不纠正机长错误,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为用一个心理标签即可解释全部行为。,权威也能降低协调成本，防御重点是异议和复核机制。,MA-011|MA-013|MA-018,第三篇 权威如何压倒事实,ms-015,高
MS-016,剥夺超级反应,损失厌恶,剥夺与损失感会触发强度失衡的防御反应。,对于一笔损失，乃至一次被威胁的损失或一次擦肩而过，我们的反应远远强于对一笔等量收益的反应——这让我们对两者都变得不理性。,content/munger-archive/mental-models/deprival-superreaction.md,芒格思想档案，来源于误判心理学,通过事实、激励、机会成本和反馈机制把原则转化为判断。,可口可乐涨价与领土冲突类案例,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,不能把所有反对变化都解释为心理偏误，实际权益可能确受损。,MA-011|MA-013,第三篇 损失为何放大反应,ms-016,中高
MS-017,嫉妒,比较|心理倾向,嫉妒是强大却常被回避讨论的行为力量。,"这个世界不是被贪婪驱动的,而是被嫉妒驱动的。",content/munger-archive/quotes/quotes-envy.md,语录汇编，场合待逐条映射,通过事实、激励、机会成本和反馈机制把原则转化为判断。,薪酬比较与相对地位,1995年形成心理倾向框架，修订版增加倾向数量与叠加机制，并在后期问答中反复应用。,误解为用一个心理标签即可解释全部行为。,该表达是修辞性强调，不能作为所有行为的单因解释。,MA-011|MA-013,第三篇 相对比较的毒性,ms-017,中
MS-018,激励,制度设计|代理问题,制度设计应让正确行为成为激励下的自然结果，而非依赖劝诫。,要预测行为，先看清究竟什么在被奖励。,content/munger-archive/mental-models/incentive-superresponse.md,芒格思想档案，案例综合,制度改变行为收益结构，从而改变可观察结果。,联邦快递计酬与销售激励,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为用一个心理标签即可解释全部行为。,激励设计会产生二阶效应，指标也可能被操纵。,MA-012|MA-015|MA-023,第四篇 设计不容易作弊的系统,ms-018,中高
MS-019,集中投资,机会成本|耐心,投资机会应按最佳替代方案排序，少数高确信机会值得集中。,如果你只有三个好机会，我宁可它们是我最好的点子，而不是最差的。,content/munger-archive/quotes/quotes-concentration.md,2005年，接受Steven Goldberg采访（语录页转录）,能力圈、机会成本、赔率与耐心共同筛选少数机会。,伯克希尔少数重仓投资,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,集中需要能力圈、赔率和承受损失能力，不是模仿持仓数量。,MA-007|MA-020|MA-021,第五篇 等待少数好球,ms-019,中高
MS-020,坐等投资,长期持有|护城河,高质量企业允许投资者少做动作，让复利持续工作。,大钱是由能熬过波动、稳坐不动的耐心持有者赚到的。,content/munger-archive/mental-models/sit-on-your-ass-investing.md,芒格思想档案，时间综合,能力圈、机会成本、赔率与耐心共同筛选少数机会。,喜诗、可口可乐、好市多,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,只有企业优势、治理和买入条件持续成立时，少动才是优点。,MA-019|MA-021,第五篇 找到之后少折腾,ms-020,中高
MS-021,会计,经济现实|商业判断,商业判断要把会计数字还原为经济现实和竞争优势。,会计是商业活动的语言，但任何语言都可以被用来说谎。,content/models/accounting-as-language-its-limits.md,编辑模型稿，时间综合,通过事实、激励、机会成本和反馈机制把原则转化为判断。,商誉、现金流与维护性资本支出,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,这是编辑扩展表达；必须以Wesco、年会或演讲原话作证。,MA-018|MA-020|MA-023,第五篇 穿过会计看企业,ms-021,中
MS-022,终身学习,阅读|谦逊,理性需要谦逊、客观和持续学习，而不是聪明人的自我确认。,我非常擅长向已故之人学习。这正是每个人都该学会的本事。,content/munger-archive/recordings/cnbc-final-interview-2023.md,2023年，CNBC最后一次访谈,通过阅读、反证、复盘和跨学科迁移持续更新模型。,从已故思想家与企业案例学习,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,阅读必须转化为可检验的模型和行动，不能成为知识收藏。,MA-005|MA-006|MA-024,第六篇 向活人和死人学习,ms-022,高
MS-023,应得的信任,品格|合作,值得信任的关系能降低制度摩擦并形成长期合作优势。,做一个可靠的人，让别人愿意给你应得的信任。,content/munger-archive/recordings/usc-law-2007.md,2007年，南加州大学法学院毕业演讲档案,通过事实、激励、机会成本和反馈机制把原则转化为判断。,芒格与巴菲特的长期合作,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,信任必须可验证，不能替代必要控制。,MA-018|MA-024,第六篇 应得的信任,ms-023,中高
MS-024,意识形态,客观|独立,远离极端意识形态，避免让身份压倒证据。,远离极端的意识形态。,content/munger-archive/recordings/usc-law-2007.md,2007年，南加州大学法学院毕业演讲档案,通过事实、激励、机会成本和反馈机制把原则转化为判断。,法律、政治与专业群体的身份偏见,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,价值立场不可避免；目标是让事实能够修正立场。,MA-006|MA-022|MA-023,第六篇 不把头脑租给派别,ms-024,中高
MS-025,资本配置,领导力|回购,高管与董事应以所有者视角判断资本配置，而不是追随惯例。,芒格解释了为何 辛格尔顿的成绩——股价便宜时回购股份、昂贵时增发股份，并无视华尔街关于 CEO 该如何行事的成规—— 代表了资本配置的正确范式,content/munger-archive/recordings/singleton-prize-2022.md,2022年，与托德·库姆斯对谈档案,在留存、分红、回购、收购与现金之间比较增量回报。,亨利·辛格尔顿低价回购、高价增发,从演讲中的原则逐步进入Wesco、每日期刊和晚年访谈的现实应用。,误解为该通用模型由芒格原创，或可脱离证据直接套用。,档案页是编辑概括，关键论断需回到对谈原文。,MA-018|MA-019|MA-021,第五篇 资本配置者怎样行动,ms-025,中
